,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,203,1.5154873228656212,0.7931034482758621
AMGN,5243,229,4.419443418479057,0.7641921397379913
AXP,5243,236,5.927298332027256,0.8177966101694916
BA,5243,220,0.5178793478174964,0.7727272727272727
CAT,5243,205,0.6986250715733343,0.7658536585365854
CRM,4121,160,6.528074420976009,0.80625
CSCO,5243,234,1.0365200949335642,0.7735042735042735
CVX,5243,241,3.436165742918737,0.7842323651452282
DIS,5243,207,0.5303970324954952,0.7536231884057971
DOW,411,21,0.004713275819891481,0.9047619047619048
GS,5243,198,-0.5009915171375414,0.7676767676767676
HD,5243,220,0.719012382081532,0.7727272727272727
HON,5243,245,1.6025006919649722,0.8326530612244898
IBM,5243,222,-0.09535921445509779,0.7522522522522522
INTC,5243,206,-0.05858569757926557,0.7621359223300971
JNJ,5243,244,3.1172123644071426,0.8155737704918032
JPM,5243,223,1.4106300415565465,0.7892376681614349
KO,5243,252,3.2352104646632185,0.7936507936507936
MCD,5243,237,4.0869281186906,0.8312236286919831
MMM,5243,222,2.432285560881662,0.7792792792792793
MRK,5243,239,1.8463622066741852,0.7866108786610879
MSFT,5243,237,5.736315293056495,0.8312236286919831
NKE,5243,224,9.70805653370192,0.8035714285714286
PG,5243,238,2.805673341857493,0.8151260504201681
TRV,5243,235,5.696567132518217,0.825531914893617
UNH,5243,227,13.033554254034046,0.8281938325991189
V,3180,150,6.119411515687099,0.8666666666666667
VZ,5243,243,1.1636974530161461,0.7736625514403292
WBA,5243,236,2.5041768525774435,0.7627118644067796
WMT,5243,262,10.872824181610508,0.8091603053435115
