,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,230,1.6214384199253968,0.7086956521739131
AMGN,5243,225,1.2172285764294513,0.6355555555555555
AXP,5243,236,1.726907006336725,0.7161016949152542
BA,5243,237,0.12688708933746723,0.6962025316455697
CAT,5243,229,0.4772321821950013,0.6681222707423581
CRM,4121,184,10.967915774697861,0.717391304347826
CSCO,5243,236,1.1378298841872048,0.6864406779661016
CVX,5243,222,-0.06365655004197918,0.6531531531531531
DIS,5243,249,8.17214916531635,0.7550200803212851
DOW,411,14,-0.25211736887529584,0.6428571428571429
GS,5243,245,3.147994788427218,0.6979591836734694
HD,5243,243,2.0093951058835464,0.7119341563786008
HON,5243,239,0.6772106574925557,0.7154811715481172
IBM,5243,222,-0.30358753484736045,0.6711711711711712
INTC,5243,240,0.5246999553133438,0.6916666666666667
JNJ,5243,245,2.9275279598762327,0.6857142857142857
JPM,5243,240,0.7381577775339961,0.6708333333333333
KO,5243,260,2.1957980678639872,0.6961538461538461
MCD,5243,251,3.858446890536942,0.7450199203187251
MMM,5243,244,1.9869675529524073,0.7131147540983607
MRK,5243,238,0.2479504062721047,0.6722689075630253
MSFT,5243,246,2.0218976180931647,0.7195121951219512
NKE,5243,250,16.403744440071563,0.776
PG,5243,257,4.754676688761254,0.7470817120622568
TRV,5243,238,1.5474351110135107,0.6932773109243697
UNH,5243,242,4.971434382571644,0.7066115702479339
V,3180,154,8.898223169293697,0.8311688311688312
VZ,5243,226,-0.4227510225298771,0.6327433628318584
WBA,5243,228,0.7686206595618692,0.6754385964912281
WMT,5243,246,3.797070406503195,0.7032520325203252
