,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,136,1.0013454233599337,0.7720588235294118
AMGN,5243,144,2.274135249958435,0.7083333333333334
AXP,5243,153,7.547690604418011,0.7777777777777778
BA,5243,128,-0.2494860746839192,0.703125
CAT,5243,137,1.0702107928664535,0.7007299270072993
CRM,4121,112,19.01528585343497,0.8035714285714286
CSCO,5243,153,1.6164248507259282,0.7254901960784313
CVX,5243,148,1.152723963169605,0.7094594594594594
DIS,5243,143,2.3565494784547236,0.7202797202797203
DOW,411,11,-0.028506652828077086,0.8181818181818182
GS,5243,125,-0.5185004643952403,0.656
HD,5243,146,2.257201389521337,0.7465753424657534
HON,5243,150,1.9856267924505262,0.78
IBM,5243,138,-0.11263135986337718,0.6666666666666666
INTC,5243,133,-0.29552796597821557,0.6541353383458647
JNJ,5243,147,2.288648804712929,0.7551020408163265
JPM,5243,145,1.3884328175583034,0.7241379310344828
KO,5243,161,2.8092965288041123,0.7329192546583851
MCD,5243,154,4.16929729428591,0.7662337662337663
MMM,5243,147,2.7428585813333473,0.7346938775510204
MRK,5243,151,0.6362499783515739,0.7019867549668874
MSFT,5243,147,3.330548003399459,0.7551020408163265
NKE,5243,147,9.830933721900731,0.7619047619047619
PG,5243,150,3.8639560068798455,0.76
TRV,5243,148,2.0968965309193024,0.7432432432432432
UNH,5243,144,13.083993926121805,0.7569444444444444
V,3180,93,9.334190071193623,0.8602150537634409
VZ,5243,149,0.49290210459992523,0.6912751677852349
WBA,5243,149,2.1637300058733504,0.7248322147651006
WMT,5243,158,7.558261351173882,0.7468354430379747
