,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,14,0.4449487890545661,0.6428571428571429
AMGN,5243,21,5.181992109751378,0.8095238095238095
AXP,5243,13,-0.13340725304817663,0.6923076923076923
BA,5243,18,0.5706223757761274,0.7777777777777778
CAT,5243,17,0.766803520293023,0.6470588235294118
CRM,4121,11,3.936284108650269,0.8181818181818182
CSCO,5243,17,-0.15938720020317532,0.7647058823529411
CVX,5243,19,0.5980986705984729,0.7368421052631579
DIS,5243,15,0.3235495838621308,0.6666666666666666
DOW,411,2,-0.03010262918621744,0.5
GS,5243,20,3.3580043124273784,0.85
HD,5243,17,1.2269484460853073,0.8235294117647058
HON,5243,19,3.299737564910942,0.7894736842105263
IBM,5243,20,0.8571768420787386,0.65
INTC,5243,22,0.15662863436655095,0.6818181818181818
JNJ,5243,18,2.0478782951538697,0.8888888888888888
JPM,5243,21,1.7713762031219942,0.7619047619047619
KO,5243,16,0.31926666874044973,0.75
MCD,5243,22,3.154287086932332,0.9090909090909091
MMM,5243,19,1.9001502088083033,0.7894736842105263
MRK,5243,17,-0.2681208470593253,0.6470588235294118
MSFT,5243,19,3.4542919749567185,0.8421052631578947
NKE,5243,20,16.25328550282191,0.95
PG,5243,20,2.490386975734778,0.8
TRV,5243,16,2.032646778906501,0.8125
UNH,5243,15,3.8804101724005435,0.8666666666666667
V,3180,7,1.87880434599324,0.8571428571428571
VZ,5243,22,2.8364814045733553,0.8636363636363636
WBA,5243,16,-0.02473499744502001,0.625
WMT,5243,19,2.5855257333206705,0.9473684210526315
