,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,235,0.5435183161119127,0.7914893617021277
AMGN,5243,279,10.046439575486987,0.7670250896057348
AXP,5243,286,15.305974781034234,0.8006993006993007
BA,5243,266,1.4578130450292226,0.7819548872180451
CAT,5243,233,0.2582151426885282,0.7253218884120172
CRM,4121,188,5.525913755742394,0.776595744680851
CSCO,5243,258,0.19978616115542966,0.7558139534883721
CVX,5243,298,2.955408528080524,0.8154362416107382
DIS,5243,266,1.790139816814458,0.7857142857142857
DOW,411,20,-0.1839978531981894,0.8
GS,5243,232,-0.5483432098945116,0.75
HD,5243,266,1.1348082708720606,0.7669172932330827
HON,5243,276,2.5973416758244015,0.8043478260869565
IBM,5243,262,-0.027411601484481476,0.7595419847328244
INTC,5243,259,-0.049921079726827446,0.749034749034749
JNJ,5243,279,2.613766259287233,0.7777777777777778
JPM,5243,266,1.6227682456935668,0.7706766917293233
KO,5243,294,2.7405401677278576,0.7993197278911565
MCD,5243,270,2.4140523194670584,0.8074074074074075
MMM,5243,268,2.373804160562099,0.7761194029850746
MRK,5243,287,4.462704755133366,0.7874564459930313
MSFT,5243,270,4.615750224677881,0.7925925925925926
NKE,5243,262,17.77529027247305,0.8091603053435115
PG,5243,280,2.9953071849568396,0.7857142857142857
TRV,5243,291,10.61917031957822,0.7938144329896907
UNH,5243,274,13.496210088041332,0.8065693430656934
V,3180,173,4.705176894362454,0.8497109826589595
VZ,5243,289,0.8398303428983772,0.726643598615917
WBA,5243,281,2.1403123589341515,0.7580071174377224
WMT,5243,298,8.95997285195032,0.7919463087248322
