,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,230,1.6214384199253968,0.7086956521739131
ABNB,,,,
ADBE,5243,262,97.97614267249482,0.7824427480916031
ADI,5243,244,8.592046788289252,0.6680327868852459
ADP,5243,241,3.1869118924019184,0.7178423236514523
ADSK,5243,233,2.462444983093237,0.7339055793991416
AEP,5243,236,0.23527414724444412,0.6864406779661016
ALGN,4972,211,2.9026887485998123,0.7014218009478673
AMAT,5243,252,3.8084719831842566,0.6706349206349206
AMD,5233,231,0.536450842373902,0.6666666666666666
AMGN,5243,225,1.2172285764294513,0.6355555555555555
AMZN,5243,225,7.126348883255738,0.7022222222222222
ANSS,5233,255,32.43812541592807,0.7411764705882353
ASML,5243,251,11.459596872227866,0.7171314741035857
ATVI,5243,239,15.861848367653185,0.7154811715481172
AVGO,2831,114,3.0059531312377477,0.6754385964912281
BIDU,3838,169,4.409180876993463,0.7100591715976331
BIIB,5222,228,6.696922947270526,0.6710526315789473
BKNG,5243,237,2.9165826627066607,0.70042194092827
CDNS,5243,234,4.760932927818124,0.6923076923076923
CHTR,2602,119,5.740339033352384,0.7478991596638656
CMCSA,5243,244,9.260803478663282,0.7172131147540983
COST,5243,248,11.937412200973087,0.7701612903225806
CPRT,5243,227,2.1512563556712596,0.7092511013215859
CRWD,353,19,0.508962927625491,0.7368421052631579
CSCO,5243,236,1.1378298841872048,0.6864406779661016
CSX,5243,259,18.220540138112383,0.7258687258687259
CTAS,5243,240,5.046513328621793,0.7541666666666667
CTSH,5243,247,7.733585542786583,0.728744939271255
DDOG,284,10,0.18566188788361265,0.7
DLTR,5243,265,18.452236861889407,0.7622641509433963
DOCU,635,35,2.8885549732972216,0.8285714285714286
DXCM,3907,184,1.522387883801239,0.7010869565217391
EA,5243,260,45.627092525984914,0.7307692307692307
EBAY,5243,231,1.860411123233274,0.6536796536796536
EXC,5243,250,1.5299854211038872,0.728
FAST,5243,241,9.155178129441927,0.6887966804979253
FTNT,2758,117,1.4831651467662137,0.717948717948718
GILD,5222,259,59.71141801764452,0.7104247104247104
GOOG,4081,179,2.9584574932803545,0.6927374301675978
GOOGL,4081,179,2.6877860538999983,0.6983240223463687
HON,5243,239,0.6772106574925557,0.7154811715481172
IDXX,5243,232,13.228213563307179,0.7370689655172413
ILMN,5099,229,3.0772457361661605,0.7074235807860262
INTC,5243,240,0.5246999553133438,0.6916666666666667
INTU,5243,245,15.7598273263776,0.726530612244898
ISRG,5128,229,3.811976179512019,0.7074235807860262
JD,1625,76,2.663410646679381,0.7368421052631579
KDP,3146,147,3.178477576942377,0.7619047619047619
KHC,1344,67,-0.07443555349257787,0.6716417910447762
KLAC,5243,250,18.33277018067748,0.692
LCID,32,1,0.0030090002174223774,1.0
LRCX,5243,242,39.96727331585644,0.7148760330578512
LULU,3342,144,1.62078136986615,0.6805555555555556
MAR,5243,245,3.2502045234317154,0.7224489795918367
MCHP,5243,254,14.319501149492073,0.7165354330708661
MDLZ,4879,233,1.1530960525927996,0.7167381974248928
MELI,3332,144,6.291459724719274,0.6666666666666666
MNST,4709,213,36.10341523466374,0.7464788732394366
MRNA,480,20,1.3284421631558683,0.7
MRVL,5118,228,2.1856501389013494,0.6271929824561403
MSFT,5243,246,2.0218976180931647,0.7195121951219512
MTCH,5243,241,19.356328376010868,0.7095435684647303
MU,5243,240,2.4947241801490865,0.6375
NFLX,4645,201,42.79296703391771,0.7164179104477612
NTES,4889,220,7.7354989469679225,0.6727272727272727
NVDA,5243,236,30.257701500000827,0.7584745762711864
NXPI,2579,114,3.2627065579533996,0.7719298245614035
ODFL,4697,224,44.33181345645891,0.7455357142857143
OKTA,900,37,2.0535705259149943,0.8108108108108109
ORLY,5243,248,39.192178927831165,0.717741935483871
PANW,2086,90,0.3186390220993366,0.7333333333333333
PAYX,5243,232,2.3184792929510634,0.6896551724137931
PCAR,5243,239,5.749908374310537,0.694560669456067
PDD,573,22,0.6425529942310213,0.6363636363636364
PEP,5243,245,2.6544078995141076,0.7387755102040816
PYPL,1344,69,3.290479904701896,0.8115942028985508
QCOM,5243,244,5.962686530679628,0.7172131147540983
REGN,5233,227,-0.8767760509228117,0.6431718061674009
ROST,5243,254,23.355795008415942,0.7440944881889764
SBUX,5243,258,16.608442738405504,0.7441860465116279
SGEN,4935,216,0.8241535629433885,0.6296296296296297
SIRI,5217,221,-0.8782060820085255,0.6244343891402715
SNPS,5243,244,2.9565578689399716,0.7295081967213115
SPLK,2150,89,0.8708813966858222,0.6966292134831461
SWKS,5243,229,1.5064993187942222,0.7030567685589519
TEAM,1234,60,4.129203014345748,0.7833333333333333
TMUS,3411,166,6.232115380850725,0.7469879518072289
TSLA,2606,118,10.781251983666246,0.7033898305084746
TXN,5243,245,5.21255149182755,0.7183673469387755
VRSK,2788,128,3.707722403980393,0.7578125
VRSN,5243,244,0.712306593266178,0.7049180327868853
VRTX,5223,219,0.42447481883535976,0.6484018264840182
WBA,5243,228,0.7686206595618692,0.6754385964912281
WDAY,2027,95,1.1804744722043103,0.7157894736842105
XEL,5233,254,1.591844090680556,0.7283464566929134
ZM,390,16,1.677419612616152,0.5625
ZS,664,32,2.5103602554626057,0.875
