,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,136,1.0013454233599337,0.7720588235294118
ABNB,,,,
ADBE,5243,152,26.765246762484566,0.7960526315789473
ADI,5243,153,10.875783586804259,0.7189542483660131
ADP,5243,150,2.8282175423439653,0.74
ADSK,5243,146,4.604665114168195,0.7876712328767124
AEP,5243,131,0.21132509468746674,0.7251908396946565
ALGN,4972,126,4.922589018860484,0.7777777777777778
AMAT,5243,142,3.0901802007430597,0.704225352112676
AMD,5233,131,-0.7292249341577938,0.6564885496183206
AMGN,5243,144,2.274135249958435,0.7083333333333334
AMZN,5243,131,4.8209933922628165,0.7022900763358778
ANSS,5233,154,34.31132680163514,0.8116883116883117
ASML,5243,151,20.217787164793773,0.7748344370860927
ATVI,5243,148,9.322942896832004,0.7702702702702703
AVGO,2831,76,4.249756403431995,0.8157894736842105
BIDU,3838,96,3.624794752160932,0.6979166666666666
BIIB,5222,146,7.538390153589048,0.7602739726027398
BKNG,5243,136,-0.6406792829613734,0.7426470588235294
CDNS,5243,135,2.7816277281360007,0.7555555555555555
CHTR,2602,66,4.467339667214507,0.8181818181818182
CMCSA,5243,151,5.052587379448856,0.7218543046357616
COST,5243,157,9.722773900946873,0.7898089171974523
CPRT,5243,148,6.172956930311504,0.777027027027027
CRWD,353,7,-0.17985866585819052,0.7142857142857143
CSCO,5243,153,1.6164248507259282,0.7254901960784313
CSX,5243,137,4.231122850045344,0.7591240875912408
CTAS,5243,144,4.203207033899467,0.7430555555555556
CTSH,5243,144,10.345965677530312,0.7777777777777778
DDOG,284,7,0.24196980379438704,0.7142857142857143
DLTR,5243,141,4.327123590313753,0.7304964539007093
DOCU,635,18,1.4361375884312293,0.9444444444444444
DXCM,3907,98,2.04871623795117,0.7244897959183674
EA,5243,155,12.874057230216325,0.7419354838709677
EBAY,5243,137,0.7859786613079789,0.656934306569343
EXC,5243,161,2.891628228603061,0.782608695652174
FAST,5243,154,9.983935439773344,0.7272727272727273
FTNT,2758,64,0.9265453542749797,0.6875
GILD,5222,157,44.88454458312142,0.7707006369426752
GOOG,4081,97,0.6513882473036959,0.7010309278350515
GOOGL,4081,96,0.47338599554353694,0.6875
HON,5243,150,1.9856267924505262,0.78
IDXX,5243,145,16.41609520012864,0.8068965517241379
ILMN,5099,129,0.26225831813088013,0.7751937984496124
INTC,5243,133,-0.29552796597821557,0.6541353383458647
INTU,5243,147,12.544721210779288,0.7687074829931972
ISRG,5128,131,8.388248842052278,0.7557251908396947
JD,1625,45,1.6047833314067763,0.8
KDP,3146,85,2.684201939099437,0.7764705882352941
KHC,1344,37,-0.1603362097898554,0.7027027027027027
KLAC,5243,143,5.614764555178302,0.7062937062937062
LCID,,,,
LRCX,5243,146,11.477676837785669,0.7602739726027398
LULU,3342,88,2.022748591778833,0.7272727272727273
MAR,5243,137,1.4160807593802647,0.7372262773722628
MCHP,5243,156,12.464472998226846,0.7564102564102564
MDLZ,4879,146,2.858400268319652,0.7465753424657534
MELI,3332,81,1.6586600494000936,0.691358024691358
MNST,4709,119,16.598256741034074,0.7563025210084033
MRNA,480,11,1.2210849725378035,0.8181818181818182
MRVL,5118,128,-0.14928972874529545,0.7109375
MSFT,5243,147,3.330548003399459,0.7551020408163265
MTCH,5243,144,7.000834913346381,0.75
MU,5243,149,4.506895756006703,0.738255033557047
NFLX,4645,106,1.2882227500318237,0.7735849056603774
NTES,4889,123,3.424385845281409,0.7479674796747967
NVDA,5243,135,0.05732242202289426,0.7481481481481481
NXPI,2579,68,4.012696349801861,0.7941176470588235
ODFL,4697,148,148.24986055234723,0.8175675675675675
OKTA,900,21,1.3352448856477201,0.7619047619047619
ORLY,5243,143,17.011508161495072,0.7902097902097902
PANW,2086,57,1.45389398287981,0.7368421052631579
PAYX,5243,139,0.34855830385732206,0.7122302158273381
PCAR,5243,158,13.37242179148119,0.7848101265822784
PDD,573,13,0.9275060781884932,0.7692307692307693
PEP,5243,155,3.934169724473289,0.7806451612903226
PYPL,1344,34,1.1285166694948938,0.8235294117647058
QCOM,5243,156,3.1801033029171113,0.7756410256410257
REGN,5233,126,-0.42762091786767586,0.6666666666666666
ROST,5243,142,8.833651559370544,0.7816901408450704
SBUX,5243,135,3.5470757676732343,0.725925925925926
SGEN,4935,131,6.796825326372616,0.6870229007633588
SIRI,5217,133,-0.99140940365855,0.7293233082706767
SNPS,5243,146,1.9442619923278075,0.7465753424657534
SPLK,2150,56,1.3003727437015549,0.7321428571428571
SWKS,5243,136,-0.5399615884994534,0.6911764705882353
TEAM,1234,37,5.064850383815364,0.8648648648648649
TMUS,3411,104,2.3033034739414364,0.7692307692307693
TSLA,2606,75,7.865452916921027,0.7466666666666667
TXN,5243,158,9.962060946750743,0.7341772151898734
VRSK,2788,75,3.6811411165856867,0.7866666666666666
VRSN,5243,126,-0.6838449559459091,0.7142857142857143
VRTX,5223,140,6.392485794025055,0.7285714285714285
WBA,5243,149,2.1637300058733504,0.7248322147651006
WDAY,2027,52,1.073378885136612,0.8076923076923077
XEL,5233,148,1.9331558752399554,0.7837837837837838
ZM,390,9,0.9291517370619367,0.7777777777777778
ZS,664,16,0.5517078129713293,0.8125
