,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,18,3.4804892690825118,0.8333333333333334
ABNB,,,,
ADBE,5243,12,1.3108658501231512,0.75
ADI,5243,17,2.3431040973585544,0.5294117647058824
ADP,5243,14,1.2481162782682316,0.7857142857142857
ADSK,5243,21,0.2549605345820321,0.7619047619047619
AEP,5243,15,1.089506035089693,0.8
ALGN,4972,18,1.168536816458684,0.7222222222222222
AMAT,5243,13,-0.5835037526822495,0.38461538461538464
AMD,5233,20,-0.5545077806347376,0.6
AMGN,5243,15,1.1230076082204128,0.7333333333333333
AMZN,5243,16,3.5740939779695626,0.875
ANSS,5233,15,10.329572471384157,0.9333333333333333
ASML,5243,17,1.542803877014014,0.7058823529411765
ATVI,5243,18,3.0620006622542046,0.7222222222222222
AVGO,2831,10,2.760762530546097,0.9
BIDU,3838,10,1.8404555482428315,0.7
BIIB,5222,15,3.044444728093641,0.8666666666666667
BKNG,5243,21,-0.5502667063639849,0.7619047619047619
CDNS,5243,19,0.6908268470273761,0.7894736842105263
CHTR,2602,10,1.9855945212585806,1.0
CMCSA,5243,17,0.8866957006267807,0.7647058823529411
COST,5243,16,7.205002810223135,0.9375
CPRT,5243,23,10.622437396947191,0.782608695652174
CRWD,353,2,0.46820635605918665,1.0
CSCO,5243,20,2.046218719376882,0.75
CSX,5243,17,4.108506196513384,0.8235294117647058
CTAS,5243,14,1.403560155386947,0.7142857142857143
CTSH,5243,18,17.949109487116168,0.8888888888888888
DDOG,,,,
DLTR,5243,18,0.7418773867970074,0.6666666666666666
DOCU,635,1,-0.045001038089966285,0.0
DXCM,3907,13,0.11525960045252065,0.5384615384615384
EA,5243,13,0.3941724164772446,0.6153846153846154
EBAY,5243,14,2.631691514631931,0.7857142857142857
EXC,5243,17,0.11515080401356681,0.5294117647058824
FAST,5243,28,23.063603510710056,0.8214285714285714
FTNT,2758,9,1.3806225579254026,0.8888888888888888
GILD,5222,16,7.698961081174496,0.9375
GOOG,4081,13,1.2556652083599316,0.8461538461538461
GOOGL,4081,12,1.080558289592665,0.8333333333333334
HON,5243,18,1.1987381857212116,0.7777777777777778
IDXX,5243,22,15.536969948930397,0.8636363636363636
ILMN,5099,28,4.721031293367884,0.75
INTC,5243,20,-0.69367221992212,0.55
INTU,5243,20,11.478668438946551,0.9
ISRG,5128,22,21.828056835085583,0.8181818181818182
JD,1625,4,0.22045313172983028,0.75
KDP,3146,8,0.14087121551541845,0.875
KHC,1344,6,-0.23950530476654308,0.5
KLAC,5243,16,-0.13674957094353368,0.5625
LCID,,,,
LRCX,5243,15,0.43589423166758867,0.7333333333333333
LULU,3342,12,0.20094122476817713,0.5833333333333334
MAR,5243,18,0.6224275926328101,0.6111111111111112
MCHP,5243,16,2.390254940949186,0.6875
MDLZ,4879,15,0.5985634233923699,0.7333333333333333
MELI,3332,15,2.466595154349137,0.8
MNST,4709,15,2.2920989953325916,0.7333333333333333
MRNA,480,2,0.11010859863533638,0.5
MRVL,5118,19,2.6153686811358154,0.631578947368421
MSFT,5243,12,0.32288723123239005,0.5833333333333334
MTCH,5243,18,-0.40056707862889707,0.6111111111111112
MU,5243,17,1.0988273654951137,0.7058823529411765
NFLX,4645,19,9.11967781499075,0.8947368421052632
NTES,4889,23,8.518486445072703,0.782608695652174
NVDA,5243,17,-0.724532156702588,0.5882352941176471
NXPI,2579,8,1.1398126410007383,0.625
ODFL,4697,19,9.37298953165567,0.8947368421052632
OKTA,900,2,0.3375943303132532,1.0
ORLY,5243,20,5.363814501110846,0.85
PANW,2086,9,1.2160597459139857,0.8888888888888888
PAYX,5243,22,2.0272578372286825,0.9090909090909091
PCAR,5243,15,3.5840353592850427,0.7333333333333333
PDD,573,3,1.9717002799125272,1.0
PEP,5243,14,0.6067583743712338,0.8571428571428571
PYPL,1344,3,0.6802177040179488,1.0
QCOM,5243,17,0.8969431946497043,0.7647058823529411
REGN,5233,26,6.481062893099754,0.8076923076923077
ROST,5243,13,10.945238996280592,1.0
SBUX,5243,14,0.4808271779988434,0.8571428571428571
SGEN,4935,27,6.545879895605078,0.8518518518518519
SIRI,5217,21,-0.6151361669994432,0.47619047619047616
SNPS,5243,19,1.427566706129843,0.8421052631578947
SPLK,2150,10,1.1493387867568932,0.7
SWKS,5243,19,10.781413605282767,0.7368421052631579
TEAM,1234,4,1.4590376591689507,1.0
TMUS,3411,11,-0.2217595548722488,0.5454545454545454
TSLA,2606,11,5.942192734530643,0.8181818181818182
TXN,5243,18,-0.05193797070190357,0.7222222222222222
VRSK,2788,8,1.0654602742833346,1.0
VRSN,5243,19,-0.07183836152834597,0.5789473684210527
VRTX,5223,22,3.7358296513859854,0.7272727272727273
WBA,5243,19,0.051477780891999836,0.6842105263157895
WDAY,2027,7,2.193795862860025,1.0
XEL,5233,15,0.899797002313386,0.8
ZM,390,1,0.04106311550952576,1.0
ZS,664,1,-0.2072483200112274,0.0
