,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,7,0.1830846703338332,0.7142857142857143
ABNB,,,,
ADBE,5243,6,1.0363093542207729,0.8333333333333334
ADI,5243,7,2.6051415064699497,1.0
ADP,5243,7,1.2838153290452776,0.7142857142857143
ADSK,5243,13,4.706701402862491,0.9230769230769231
AEP,5243,7,1.9893388654163182,0.7142857142857143
ALGN,4972,9,0.34682808358101014,0.7777777777777778
AMAT,5243,7,0.6307293214243425,0.7142857142857143
AMD,5233,12,-0.3938559366684641,0.5
AMGN,5243,7,2.021165655147987,0.8571428571428571
AMZN,5243,6,-0.03819468391804549,0.6666666666666666
ANSS,5233,4,2.450184736404499,0.75
ASML,5243,8,2.1063660811060996,0.75
ATVI,5243,8,6.083864610109816,1.0
AVGO,2831,5,2.104060709881532,1.0
BIDU,3838,5,-0.18329825965516724,0.4
BIIB,5222,8,2.0507199431040957,0.875
BKNG,5243,11,-0.6406418042523903,0.8181818181818182
CDNS,5243,9,0.059403603093252516,0.7777777777777778
CHTR,2602,5,2.086359915311206,1.0
CMCSA,5243,8,0.937445708814177,0.75
COST,5243,9,4.744831614065289,1.0
CPRT,5243,13,11.959277497257478,0.8461538461538461
CRWD,,,,
CSCO,5243,10,0.28426573168325076,0.7
CSX,5243,7,3.3543034651112538,0.8571428571428571
CTAS,5243,7,1.0784930277600173,0.8571428571428571
CTSH,5243,7,6.631798997595932,0.8571428571428571
DDOG,,,,
DLTR,5243,12,13.783894167682678,0.6666666666666666
DOCU,635,1,0.29997786346451194,1.0
DXCM,3907,8,0.7006473078573852,0.625
EA,5243,5,-0.3444424157602722,0.6
EBAY,5243,7,0.39873582364581617,0.7142857142857143
EXC,5243,7,-0.0019070799423545831,0.5714285714285714
FAST,5243,11,3.0069764397195113,0.9090909090909091
FTNT,2758,6,3.007969555952966,1.0
GILD,5222,6,1.6909503958728547,0.6666666666666666
GOOG,4081,6,1.2028738418400735,0.8333333333333334
GOOGL,4081,6,0.9369138160661229,0.8333333333333334
HON,5243,11,5.99439307514687,0.7272727272727273
IDXX,5243,7,4.51337971803537,1.0
ILMN,5099,11,1.0028409963867073,0.7272727272727273
INTC,5243,14,0.26164826451103973,0.7142857142857143
INTU,5243,5,3.0984658355288945,1.0
ISRG,5128,12,8.11637217973978,0.8333333333333334
JD,1625,2,0.3172444762367306,1.0
KDP,3146,3,0.23392838816159406,0.6666666666666666
KHC,1344,1,-0.6113572644493442,0.0
KLAC,5243,9,1.671340131788836,0.7777777777777778
LCID,,,,
LRCX,5243,7,0.04587318956652528,0.42857142857142855
LULU,3342,6,-0.4892430324870888,0.6666666666666666
MAR,5243,9,0.9756507173563682,0.7777777777777778
MCHP,5243,6,1.0790491571352732,0.8333333333333334
MDLZ,4879,8,0.49449552219947684,0.875
MELI,3332,9,6.316845276880589,0.8888888888888888
MNST,4709,7,6.411224583895619,1.0
MRNA,480,1,0.020903893555726624,1.0
MRVL,5118,11,7.438236888791342,0.5454545454545454
MSFT,5243,9,2.558345548924681,0.7777777777777778
MTCH,5243,10,1.6960990080496543,0.9
MU,5243,9,-0.6041063351916968,0.4444444444444444
NFLX,4645,10,2.5809561423104306,0.8
NTES,4889,9,10.796465575579111,0.7777777777777778
NVDA,5243,10,-0.0572347787849328,0.5
NXPI,2579,5,1.46663875246953,0.8
ODFL,4697,5,1.9737876099171512,0.8
OKTA,900,1,0.20695767756736047,1.0
ORLY,5243,9,4.1824533671144595,0.7777777777777778
PANW,2086,6,0.5258507886537076,0.6666666666666666
PAYX,5243,10,2.0668480241033285,0.9
PCAR,5243,9,20.85682633770806,0.8888888888888888
PDD,573,1,1.1189074237105976,1.0
PEP,5243,6,0.38600441478664405,0.8333333333333334
PYPL,1344,1,0.3906455985481029,1.0
QCOM,5243,8,1.6856069466161923,0.75
REGN,5233,15,8.182847317032586,0.7333333333333333
ROST,5243,6,8.52626843271674,1.0
SBUX,5243,7,0.8962836019943605,0.8571428571428571
SGEN,4935,9,9.355447516425244,0.8888888888888888
SIRI,5217,10,0.264588017260063,0.7
SNPS,5243,9,1.4674510657933406,0.8888888888888888
SPLK,2150,4,1.2047910382926907,0.75
SWKS,5243,9,5.966493675028154,0.6666666666666666
TEAM,1234,2,0.833592072827037,1.0
TMUS,3411,5,-0.6020322896279874,0.4
TSLA,2606,5,2.636351662830271,1.0
TXN,5243,7,1.5864903432636102,0.7142857142857143
VRSK,2788,2,0.462949851786603,1.0
VRSN,5243,12,-0.6290887676760226,0.8333333333333334
VRTX,5223,10,5.571987708452752,0.8
WBA,5243,8,0.5418898573699289,0.5
WDAY,2027,3,0.6196219737470523,1.0
XEL,5233,5,0.07550564440560294,0.8
ZM,390,1,0.2673954472049072,1.0
ZS,664,1,0.1987115584947404,1.0
