,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,266,0.460707710381764,0.8045112781954887
ABNB,,,,
ADBE,5243,301,17.04034457888868,0.8372093023255814
ADI,5243,318,7.543884732999358,0.779874213836478
ADP,5243,343,4.766343774847988,0.8075801749271136
ADSK,5243,283,1.954716027262609,0.8056537102473498
AEP,5243,294,0.21976427983243343,0.782312925170068
ALGN,4972,258,1.0785483747803206,0.7906976744186046
AMAT,5243,291,1.265788196744349,0.7628865979381443
AMD,5233,246,-0.8113956115314174,0.7479674796747967
AMGN,5243,310,8.327559923896695,0.7806451612903226
AMZN,5243,280,5.091869628369588,0.8035714285714286
ANSS,5233,321,38.90219539394385,0.8535825545171339
ASML,5243,296,6.639803387263553,0.7972972972972973
ATVI,5243,322,20.147060680490753,0.8385093167701864
AVGO,2831,178,13.179185493535826,0.848314606741573
BIDU,3838,199,0.28517578543619954,0.7487437185929648
BIIB,5222,294,10.535571454898465,0.7891156462585034
BKNG,5243,262,-0.8657891407161101,0.7862595419847328
CDNS,5243,292,1.1468505157307336,0.7876712328767124
CHTR,2602,125,3.5032022022290743,0.848
CMCSA,5243,318,8.143841632625493,0.8144654088050315
COST,5243,337,11.300363659787903,0.827893175074184
CPRT,5243,271,4.123414172924508,0.8265682656826568
CRWD,353,11,-0.3157141702734978,0.6363636363636364
CSCO,5243,287,0.20168025208044565,0.7630662020905923
CSX,5243,305,11.933231363417402,0.839344262295082
CTAS,5243,301,6.605673023942656,0.8272425249169435
CTSH,5243,309,12.629745176186523,0.8284789644012945
DDOG,284,17,0.4151052885868358,0.8823529411764706
DLTR,5243,278,3.9157157243785234,0.802158273381295
DOCU,635,39,2.1735165684372597,0.8717948717948718
DXCM,3907,201,7.722645162213706,0.8109452736318408
EA,5243,305,9.791473712160524,0.8
EBAY,5243,291,1.1861268808984746,0.7628865979381443
EXC,5243,338,2.1281941367019055,0.8165680473372781
FAST,5243,312,11.354733299817946,0.8012820512820513
FTNT,2758,137,2.0524003764955236,0.8102189781021898
GILD,5222,335,95.04696755619926,0.7940298507462686
GOOG,4081,191,0.5757851696037098,0.7643979057591623
GOOGL,4081,199,0.6692990846094079,0.7688442211055276
HON,5243,310,2.4116349477186705,0.8161290322580645
IDXX,5243,292,10.816370444521048,0.8082191780821918
ILMN,5099,260,-0.07271004456052929,0.8076923076923077
INTC,5243,287,-0.024210164868837803,0.7630662020905923
INTU,5243,321,41.688939840838025,0.8130841121495327
ISRG,5128,277,5.3985740973383205,0.7978339350180506
JD,1625,84,0.4421944457114488,0.8214285714285714
KDP,3146,167,2.964915461141581,0.8263473053892215
KHC,1344,79,-0.13230973497571494,0.7848101265822784
KLAC,5243,298,4.283232434555352,0.785234899328859
LCID,32,1,0.006191994036632008,1.0
LRCX,5243,301,5.815751489521642,0.8006644518272426
LULU,3342,174,1.788112323365247,0.7758620689655172
MAR,5243,287,2.5549122197238807,0.818815331010453
MCHP,5243,348,25.36532307190693,0.8247126436781609
MDLZ,4879,301,3.7043430191532103,0.8039867109634552
MELI,3332,151,0.649042177961224,0.7880794701986755
MNST,4709,256,22.155487922435782,0.828125
MRNA,480,24,0.8558620088562926,0.7916666666666666
MRVL,5118,247,-0.6467179627033544,0.7692307692307693
MSFT,5243,311,5.196797037264101,0.8231511254019293
MTCH,5243,271,1.7202135937175225,0.7933579335793358
MU,5243,294,0.0532962953409669,0.7891156462585034
NFLX,4645,204,0.6074545625523599,0.803921568627451
NTES,4889,243,2.112351781106328,0.7901234567901234
NVDA,5243,275,0.39521091572944356,0.8254545454545454
NXPI,2579,133,1.933137149676043,0.8345864661654135
ODFL,4697,278,85.70248943538134,0.8381294964028777
OKTA,900,55,2.635082051024632,0.8181818181818182
ORLY,5243,309,16.35394227818405,0.8220064724919094
PANW,2086,106,0.4777339863550344,0.7735849056603774
PAYX,5243,311,1.14138891876663,0.797427652733119
PCAR,5243,328,21.161156637594555,0.823170731707317
PDD,573,34,1.2120924935116502,0.8529411764705882
PEP,5243,321,2.957325841768365,0.8286604361370716
PYPL,1344,71,1.3594985429679682,0.8591549295774648
QCOM,5243,304,3.5322098898866576,0.8289473684210527
REGN,5233,279,4.54320277882991,0.7813620071684588
ROST,5243,295,15.319954654994545,0.8271186440677966
SBUX,5243,272,3.7619103458731,0.7977941176470589
SGEN,4935,263,3.538319376969021,0.7604562737642585
SIRI,5217,274,-0.9904649170778699,0.791970802919708
SNPS,5243,298,3.4425779617626566,0.8221476510067114
SPLK,2150,106,0.41002174151817106,0.7452830188679245
SWKS,5243,294,3.9785655434464093,0.8095238095238095
TEAM,1234,65,2.8913471462461406,0.8461538461538461
TMUS,3411,205,2.58193479276208,0.824390243902439
TSLA,2606,146,8.057628313123097,0.7808219178082192
TXN,5243,323,6.557032710526199,0.8018575851393189
VRSK,2788,166,4.750037924304227,0.8734939759036144
VRSN,5243,256,-0.5496500121746478,0.7578125
VRTX,5223,298,5.815378117115428,0.7818791946308725
WBA,5243,313,2.417467594843305,0.7795527156549521
WDAY,2027,110,2.075706403642441,0.8454545454545455
XEL,5233,302,1.461264973481811,0.8145695364238411
ZM,390,18,0.5530532086717347,0.8888888888888888
ZS,664,25,0.16072257137834398,0.84
