,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,235,0.5435183161119127,0.7914893617021277
ABNB,,,,
ADBE,5243,270,16.865022692207585,0.8148148148148148
ADI,5243,284,11.916774293695939,0.7605633802816901
ADP,5243,301,4.421187958071969,0.7807308970099668
ADSK,5243,250,1.7419314354869146,0.804
AEP,5243,256,0.3424022436240639,0.76953125
ALGN,4972,235,2.3596606654883474,0.7829787234042553
AMAT,5243,246,0.24325005429919017,0.7154471544715447
AMD,5233,218,-0.8494654467594903,0.7110091743119266
AMGN,5243,279,10.046439575486987,0.7670250896057348
AMZN,5243,238,3.112833459318836,0.773109243697479
ANSS,5233,284,42.65495267139336,0.8309859154929577
ASML,5243,261,6.8142609565516015,0.7509578544061303
ATVI,5243,286,28.708433970766524,0.8391608391608392
AVGO,2831,159,15.066579498773812,0.8364779874213837
BIDU,3838,177,1.4969722547210869,0.7457627118644068
BIIB,5222,263,9.162376449847482,0.7642585551330798
BKNG,5243,232,-0.7726573895196434,0.7758620689655172
CDNS,5243,253,1.1426567240925372,0.7865612648221344
CHTR,2602,114,4.612150026361981,0.8421052631578947
CMCSA,5243,273,5.016508565655638,0.7948717948717948
COST,5243,299,12.569357640499042,0.8127090301003345
CPRT,5243,248,5.049321901955912,0.8104838709677419
CRWD,353,10,-0.3298874818223179,0.6
CSCO,5243,258,0.19978616115542966,0.7558139534883721
CSX,5243,271,13.14417637074587,0.8265682656826568
CTAS,5243,268,7.911957416258587,0.8134328358208955
CTSH,5243,274,12.114192997502075,0.8065693430656934
DDOG,284,16,0.39235383201709834,0.875
DLTR,5243,253,4.725265461841201,0.7865612648221344
DOCU,635,35,1.5839366633323915,0.8571428571428571
DXCM,3907,184,8.163180943390751,0.7934782608695652
EA,5243,264,6.6710996035949055,0.7878787878787878
EBAY,5243,246,1.1129851067821868,0.7235772357723578
EXC,5243,292,2.5290460773264773,0.7945205479452054
FAST,5243,278,12.238609830233003,0.7913669064748201
FTNT,2758,119,2.199694024497619,0.7815126050420168
GILD,5222,299,84.85382442299377,0.7725752508361204
GOOG,4081,167,0.3352773982618749,0.7305389221556886
GOOGL,4081,174,0.6111476346212418,0.7471264367816092
HON,5243,276,2.5973416758244015,0.8043478260869565
IDXX,5243,249,9.012713202318995,0.7871485943775101
ILMN,5099,220,-0.2140000590900327,0.7772727272727272
INTC,5243,259,-0.049921079726827446,0.749034749034749
INTU,5243,285,51.1125568830746,0.7964912280701755
ISRG,5128,244,7.454301981203846,0.7663934426229508
JD,1625,76,0.7083925397380467,0.8026315789473685
KDP,3146,147,2.7388170650020465,0.8027210884353742
KHC,1344,70,-0.17301747776861465,0.7428571428571429
KLAC,5243,257,5.2372887330319955,0.7665369649805448
LCID,32,1,0.006191994036632008,1.0
LRCX,5243,271,11.758268009512516,0.7970479704797048
LULU,3342,156,1.7845855184151866,0.7628205128205128
MAR,5243,251,1.988845952271239,0.7888446215139442
MCHP,5243,307,36.842876108841885,0.8045602605863192
MDLZ,4879,265,3.4096790350443906,0.7811320754716982
MELI,3332,132,0.9005714400531065,0.7575757575757576
MNST,4709,227,57.42412237222873,0.8149779735682819
MRNA,480,22,0.9524854146214465,0.7727272727272727
MRVL,5118,222,-0.6692782593754851,0.7612612612612613
MSFT,5243,270,4.615750224677881,0.7925925925925926
MTCH,5243,252,3.807603614578362,0.7936507936507936
MU,5243,255,0.14475191153621836,0.7725490196078432
NFLX,4645,182,0.7762200714040082,0.7912087912087912
NTES,4889,214,1.3385331301809769,0.7710280373831776
NVDA,5243,239,0.08127033320713416,0.803347280334728
NXPI,2579,117,2.072193942437077,0.8034188034188035
ODFL,4697,251,110.25632381929539,0.8207171314741036
OKTA,900,46,1.992189134728433,0.782608695652174
ORLY,5243,278,15.88401330576314,0.8129496402877698
PANW,2086,93,0.5833793679900992,0.7419354838709677
PAYX,5243,276,1.0439184394392658,0.7753623188405797
PCAR,5243,291,21.82358792090204,0.8178694158075601
PDD,573,27,0.9390624962538343,0.8148148148148148
PEP,5243,286,3.145131462776125,0.8006993006993007
PYPL,1344,65,1.3613083830462838,0.8307692307692308
QCOM,5243,275,2.832587515543866,0.8036363636363636
REGN,5233,245,4.276658774213167,0.763265306122449
ROST,5243,267,12.304793008373101,0.8202247191011236
SBUX,5243,245,4.084098941423338,0.7755102040816326
SGEN,4935,229,5.174063740729923,0.7467248908296943
SIRI,5217,243,-0.9897831799612996,0.7695473251028807
SNPS,5243,269,5.996649740203843,0.8104089219330854
SPLK,2150,90,0.3799383336156092,0.7111111111111111
SWKS,5243,265,6.087703870670931,0.8
TEAM,1234,54,2.614357610540442,0.8333333333333334
TMUS,3411,184,3.526925285238454,0.8097826086956522
TSLA,2606,130,9.653655783513786,0.7846153846153846
TXN,5243,293,7.663316158895424,0.78839590443686
VRSK,2788,152,5.737311478040795,0.868421052631579
VRSN,5243,226,-0.6527137891620667,0.7345132743362832
VRTX,5223,264,5.020073105497232,0.7651515151515151
WBA,5243,281,2.1403123589341515,0.7580071174377224
WDAY,2027,99,1.858160697286107,0.8181818181818182
XEL,5233,266,1.7251841870987648,0.8007518796992481
ZM,390,16,0.5216055948960712,0.875
ZS,664,24,0.17277054812398995,0.8333333333333334
