,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,832,2.7788844795143146,0.5324519230769231
ABNB,,,,
ADBE,5242,878,1.675989569191428,0.5330296127562643
ADI,5242,860,0.822245286186807,0.5046511627906977
ADP,5242,882,0.6653318928991772,0.528344671201814
ADSK,5242,890,0.6275581647285408,0.549438202247191
AEP,5242,865,0.8862726089859043,0.5317919075144508
ALGN,4971,795,21.3393235687284,0.5018867924528302
AMAT,5242,879,7.549014072081902,0.5312855517633674
AMD,5232,887,-0.279026110384818,0.5073280721533259
AMGN,5242,872,1.9718451373952293,0.5321100917431193
AMZN,5242,861,-0.5096887026783318,0.5180023228803716
ANSS,5232,864,29.5629788008089,0.5590277777777778
ASML,5242,858,8.997446274990645,0.5244755244755245
ATVI,5242,849,124.12876391214104,0.5677267373380448
AVGO,2830,478,2.6062060465749877,0.5355648535564853
BIDU,3837,627,26.26556746275285,0.5215311004784688
BIIB,5221,885,1.3950848247752365,0.5163841807909605
BKNG,5242,860,0.001359149000356774,0.536046511627907
CDNS,5242,860,1.4301311580548466,0.536046511627907
CHTR,2601,424,3.847493443513156,0.5613207547169812
CMCSA,5242,872,0.7842218582465256,0.5149082568807339
COST,5242,862,1.550512310944077,0.54292343387471
CPRT,5242,860,17.036959023832352,0.5488372093023256
CRWD,352,55,-0.2617320679018997,0.5272727272727272
CSCO,5242,885,-0.13498251710780823,0.5175141242937853
CSX,5242,869,11.96127337699832,0.5339470655926352
CTAS,5242,861,-0.36827230963420554,0.519163763066202
CTSH,5242,866,15.11068367806208,0.5484988452655889
DDOG,283,46,1.839660557492045,0.6739130434782609
DLTR,5242,837,2.304703468810186,0.5400238948626045
DOCU,634,108,2.279009419718737,0.5740740740740741
DXCM,3906,658,25.786021278134502,0.5486322188449848
EA,5242,874,0.8227531143374254,0.517162471395881
EBAY,5242,869,-0.117748359736155,0.5063291139240507
EXC,5242,900,0.7296760712065923,0.5288888888888889
FAST,5242,842,1.6149310343495527,0.517814726840855
FTNT,2757,458,2.003071649205752,0.5327510917030568
GILD,5221,862,0.13441838406731585,0.5162412993039444
GOOG,4080,694,1.2166632052229986,0.5172910662824207
GOOGL,4080,683,1.4862970593975067,0.5285505124450952
HON,5242,861,0.5223816534055638,0.5249709639953543
IDXX,5242,882,7.02473647108464,0.5668934240362812
ILMN,5098,842,0.2369011934112752,0.5403800475059383
INTC,5242,866,-0.6599450136608008,0.5
INTU,5242,888,6.672819466665681,0.5315315315315315
ISRG,5127,860,8.964749696660572,0.5395348837209303
JD,1624,268,0.9084691846827511,0.5335820895522388
KDP,3145,516,-0.725967703281644,0.5
KHC,1343,211,-0.1610867131459585,0.5355450236966824
KLAC,5242,862,-0.47707725746402546,0.5069605568445475
LCID,31,4,0.014351585461623108,1.0
LRCX,5242,900,0.9618197212197691,0.5222222222222223
LULU,3341,560,21.139090432711694,0.5446428571428571
MAR,5242,843,1.3868107403418446,0.5255041518386714
MCHP,5242,871,1.6784350510409098,0.5166475315729047
MDLZ,4878,813,0.19805466650549697,0.5227552275522755
MELI,3331,552,175.91960149257056,0.592391304347826
MNST,4708,781,306.4469571707723,0.5531370038412292
MRNA,479,78,2.370159997028381,0.5512820512820513
MRVL,5117,832,2.6982888091103603,0.5168269230769231
MSFT,5242,868,6.53618902215931,0.521889400921659
MTCH,5242,828,1.7448561225105306,0.5132850241545893
MU,5242,820,0.3600645922904239,0.501219512195122
NFLX,4644,764,2.13636882011593,0.5
NTES,4888,783,3.899762402355515,0.5312899106002554
NVDA,5242,888,4.345625237794375,0.5168918918918919
NXPI,2578,408,5.6362969981141084,0.5588235294117647
ODFL,4696,774,13.897446338090091,0.5219638242894057
OKTA,899,143,3.533893375473818,0.5874125874125874
ORLY,5242,888,11.469603546455614,0.5394144144144144
PANW,2085,347,6.077483756974001,0.515850144092219
PAYX,5242,860,-0.3346180359374607,0.5232558139534884
PCAR,5242,875,1.1706479825174465,0.5291428571428571
PDD,572,104,1.958367598692534,0.5384615384615384
PEP,5242,884,0.5001499274843015,0.502262443438914
PYPL,1343,229,3.3239475083220023,0.6026200873362445
QCOM,5242,862,1.4681253167637394,0.5127610208816705
REGN,5232,851,0.46945548345592886,0.5017626321974148
ROST,5242,879,16.796725640271696,0.5472127417519909
SBUX,5242,872,4.26999199385954,0.5504587155963303
SGEN,4934,825,1.7667869803885092,0.526060606060606
SIRI,5216,842,-0.9799367907229957,0.4916864608076009
SNPS,5242,827,8.890012753473435,0.5574365175332527
SPLK,2149,355,1.2550992544776292,0.5774647887323944
SWKS,5242,869,-0.8168352530833647,0.5028768699654775
TEAM,1233,205,1.5672590972006715,0.5317073170731708
TMUS,3410,568,0.4053939500013656,0.551056338028169
TSLA,2605,433,10.692976833679474,0.5496535796766744
TXN,5242,870,0.6882438001338778,0.5218390804597701
VRSK,2787,486,0.5998518732267956,0.5185185185185185
VRSN,5242,879,-0.646473853729359,0.5073947667804323
VRTX,5222,865,1.8392146275723404,0.49710982658959535
WBA,5242,847,-0.444154297910018,0.5088547815820543
WDAY,2026,330,0.41512748968112684,0.5424242424242425
XEL,5232,874,0.27521251110889444,0.5640732265446224
ZM,389,60,-0.20942166428345327,0.48333333333333334
ZS,663,112,2.2288631429744346,0.5446428571428571
