,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,225,1.251785817149715,0.8133333333333334
ABNB,,,,
ADBE,5243,262,26.404538372970222,0.8435114503816794
ADI,5243,270,6.04588680074742,0.8111111111111111
ADP,5243,278,3.3306046240992946,0.8201438848920863
ADSK,5243,235,2.284822980958643,0.8170212765957446
AEP,5243,219,-0.05369290954240481,0.8036529680365296
ALGN,4972,230,3.4340048606147486,0.8434782608695652
AMAT,5243,248,2.1972973379033602,0.782258064516129
AMD,5233,230,-0.5915116272533886,0.7608695652173914
AMGN,5243,260,4.728411157284736,0.7923076923076923
AMZN,5243,220,2.9256727846819186,0.7909090909090909
ANSS,5233,283,46.136763307802774,0.8657243816254417
ASML,5243,249,5.620987924908415,0.8273092369477911
ATVI,5243,279,20.10365351714732,0.8602150537634409
AVGO,2831,138,8.459610950897492,0.8768115942028986
BIDU,3838,174,0.8002249892236996,0.7816091954022989
BIIB,5222,254,11.137527114206598,0.8031496062992126
BKNG,5243,229,-0.7162500832022101,0.834061135371179
CDNS,5243,242,1.2352441970616677,0.8099173553719008
CHTR,2602,112,3.667797252010536,0.8482142857142857
CMCSA,5243,258,5.583592748538141,0.813953488372093
COST,5243,277,11.916142391080122,0.8339350180505415
CPRT,5243,235,4.324742295232749,0.825531914893617
CRWD,353,8,-0.2123437267715123,0.75
CSCO,5243,260,0.603155438666923,0.7807692307692308
CSX,5243,253,7.76094633782712,0.8300395256916996
CTAS,5243,252,4.744960318193384,0.8293650793650794
CTSH,5243,268,13.656883478980411,0.832089552238806
DDOG,284,14,0.4785564963729754,0.8571428571428571
DLTR,5243,238,2.7162783646222115,0.8067226890756303
DOCU,635,35,2.3401123374860124,0.9428571428571428
DXCM,3907,170,3.236050027540112,0.8176470588235294
EA,5243,272,15.000086249965708,0.8125
EBAY,5243,245,0.7797531889898114,0.7755102040816326
EXC,5243,267,1.3669560920778066,0.8127340823970037
FAST,5243,261,8.063218252027355,0.7854406130268199
FTNT,2758,114,1.4720745867302003,0.7894736842105263
GILD,5222,280,63.72832054557344,0.8214285714285714
GOOG,4081,166,0.49407118596291427,0.8012048192771084
GOOGL,4081,167,0.5308405242891501,0.8023952095808383
HON,5243,274,1.3839184860935052,0.8394160583941606
IDXX,5243,241,10.669685085525675,0.8381742738589212
ILMN,5099,224,0.33048335277270807,0.8303571428571429
INTC,5243,220,-0.21154132204980497,0.7772727272727272
INTU,5243,255,21.882889784100087,0.8470588235294118
ISRG,5128,231,5.111651354030807,0.8225108225108225
JD,1625,76,0.548369578155601,0.8421052631578947
KDP,3146,143,2.3774963014358494,0.8461538461538461
KHC,1344,63,-0.09770273357942014,0.7936507936507936
KLAC,5243,246,2.10511533930323,0.7723577235772358
LCID,,,,
LRCX,5243,241,4.63607895753203,0.7966804979253111
LULU,3342,144,1.5186209625437852,0.8055555555555556
MAR,5243,249,1.721380992455441,0.7951807228915663
MCHP,5243,258,11.846460498903138,0.8178294573643411
MDLZ,4879,263,4.307125285463161,0.8212927756653993
MELI,3332,131,0.4135238740658206,0.7786259541984732
MNST,4709,200,13.092195941996483,0.835
MRNA,480,23,1.1294306883681542,0.8695652173913043
MRVL,5118,224,-0.6040079403308094,0.78125
MSFT,5243,263,3.979055602801497,0.8365019011406845
MTCH,5243,236,3.3596464775046035,0.8135593220338984
MU,5243,256,1.1277278911452373,0.80078125
NFLX,4645,168,0.22068545168268913,0.8333333333333334
NTES,4889,203,0.6424866081494386,0.8029556650246306
NVDA,5243,242,0.2388093468517724,0.8347107438016529
NXPI,2579,125,3.1571320038349944,0.856
ODFL,4697,247,144.0811916914442,0.8704453441295547
OKTA,900,46,3.3069279924282133,0.8695652173913043
ORLY,5243,259,14.15946701607891,0.8223938223938224
PANW,2086,89,0.4069824475335614,0.7640449438202247
PAYX,5243,248,0.307733564663765,0.7661290322580645
PCAR,5243,269,13.278513592527892,0.828996282527881
PDD,573,31,1.8803551803382779,0.8709677419354839
PEP,5243,260,2.6357304378074673,0.8269230769230769
PYPL,1344,61,1.309759557418637,0.8688524590163934
QCOM,5243,282,3.494999205551298,0.8439716312056738
REGN,5233,239,0.506883790973967,0.7824267782426778
ROST,5243,250,13.238591573941264,0.828
SBUX,5243,223,1.718431888913346,0.8026905829596412
SGEN,4935,225,9.751725985737508,0.7733333333333333
SIRI,5217,224,-0.9961779243992647,0.7901785714285714
SNPS,5243,249,1.9368026628480624,0.8313253012048193
SPLK,2150,93,1.621519481925183,0.8279569892473119
SWKS,5243,238,-0.37971583910432494,0.7983193277310925
TEAM,1234,62,4.781519353810843,0.8709677419354839
TMUS,3411,176,1.4186099539924422,0.8352272727272727
TSLA,2606,121,4.957773150731639,0.743801652892562
TXN,5243,271,2.877917662952735,0.8154981549815498
VRSK,2788,133,4.164870383229115,0.8796992481203008
VRSN,5243,237,-0.25898117241173496,0.8185654008438819
VRTX,5223,252,14.566237192127712,0.8293650793650794
WBA,5243,259,2.254422903246623,0.7722007722007722
WDAY,2027,79,1.1349708127863025,0.8607594936708861
XEL,5233,245,1.8372110875906194,0.8244897959183674
ZM,390,16,0.5494087133795342,0.9375
ZS,664,26,0.5004336165746348,0.8846153846153846
