,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,197,1.4213277112016809,0.6751269035532995
AAL,3802,138,-0.9300069138501417,0.6014492753623188
AAP,4765,195,4.196037474239955,0.7589743589743589
AAPL,5243,186,2.4802821769851855,0.7043010752688172
ABBV,1974,72,0.6448474696709262,0.6805555555555556
ABC,5243,207,9.456580152403593,0.714975845410628
ABMD,5223,183,-0.02554648830180033,0.6666666666666666
ABT,5243,211,6.458564438847568,0.7251184834123223
ACN,4854,186,7.251993383575826,0.7365591397849462
ADBE,5243,214,60.165754245194925,0.7429906542056075
ADI,5243,212,6.965856899466742,0.6745283018867925
ADM,5243,208,7.398596203000356,0.7451923076923077
ADP,5243,206,3.3602070558720567,0.7184466019417476
ADSK,5243,195,1.4108317527263505,0.717948717948718
AEE,5243,200,0.3922690088062303,0.73
AEP,5243,206,1.0219994540639368,0.7087378640776699
AES,5243,217,-0.49686012187053974,0.7004608294930875
AFL,5243,208,1.8558892459964016,0.7307692307692307
AIG,5243,197,-0.9672850336390366,0.6700507614213198
AIZ,4216,175,1.116925303581622,0.76
AJG,5243,199,2.316783855145089,0.7336683417085427
AKAM,5243,191,-0.39304847400423654,0.6596858638743456
ALB,5243,202,4.5377239457819,0.6831683168316832
ALGN,4972,181,3.9036518207518394,0.6685082872928176
ALK,5243,192,0.10748369334918284,0.6822916666666666
ALL,5243,207,1.2356463358448566,0.7584541062801933
ALLE,1752,66,0.39321583349135936,0.7575757575757576
AMAT,5243,205,5.8933654821786465,0.6682926829268293
AMCR,385,16,-0.01584697996057465,0.875
AMD,5233,194,-0.6214079283708414,0.6597938144329897
AME,5243,200,5.933064237468975,0.73
AMGN,5243,193,1.1630532291940063,0.6632124352331606
AMP,3810,154,1.4545350952571598,0.7467532467532467
AMT,5243,213,3.4376806158933713,0.7746478873239436
AMZN,5243,197,19.354440828969707,0.700507614213198
ANET,1615,59,1.441686653823983,0.6779661016949152
ANSS,5233,221,43.23309775178559,0.7737556561085973
AON,5243,210,7.84060505003461,0.7619047619047619
AOS,5243,202,5.193419669274802,0.7425742574257426
APA,5243,190,-0.6951821128883835,0.6368421052631579
APD,5243,220,7.982700395926393,0.7272727272727273
APH,5243,193,2.2280241808751535,0.7098445595854922
APTV,2254,89,2.005084638549062,0.8089887640449438
ARE,5243,219,2.5295914305584715,0.7579908675799086
ATO,5243,226,5.834819792733981,0.7831858407079646
ATVI,5243,198,6.194453560029843,0.7222222222222222
AVB,5243,202,1.9996582612043,0.7079207920792079
AVGO,2831,105,4.501231921077474,0.7047619047619048
