,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,198,-0.5803501277327261,0.7525252525252525
AAL,3802,148,-0.9382219513799135,0.7567567567567568
AAP,4765,192,1.954420467952394,0.8229166666666666
AAPL,5243,203,1.5154873228656212,0.7931034482758621
ABBV,1974,76,0.6230042372916645,0.7763157894736842
ABC,5243,219,5.645551266904961,0.821917808219178
ABMD,5223,222,2.2200882056270927,0.8018018018018018
ABT,5243,240,3.7219740232507634,0.8291666666666667
ACN,4854,202,8.087308135407442,0.8118811881188119
ADBE,5243,233,20.094572584938376,0.8369098712446352
ADI,5243,234,6.739307061429684,0.782051282051282
ADM,5243,221,1.4121435076929956,0.8009049773755657
ADP,5243,239,3.1623090745105427,0.8075313807531381
ADSK,5243,211,1.7351319975763377,0.7962085308056872
AEE,5243,243,1.6361890948440945,0.8024691358024691
AEP,5243,197,0.022391152929027217,0.7817258883248731
AES,5243,227,-0.8530300984480634,0.7841409691629956
AFL,5243,273,6.18603142176703,0.8608058608058609
AIG,5243,221,-0.9748452433565633,0.7647058823529411
AIZ,4216,192,2.706298230995302,0.84375
AJG,5243,225,3.9698404982868674,0.8088888888888889
AKAM,5243,207,-0.9297597676426574,0.7536231884057971
ALB,5243,234,6.792192535670396,0.7991452991452992
ALGN,4972,206,3.4538715494775234,0.8349514563106796
ALK,5243,229,5.388124426922926,0.7903930131004366
ALL,5243,221,1.8044330079545998,0.8054298642533937
ALLE,1752,76,0.3208911201027657,0.8289473684210527
AMAT,5243,215,1.593112247395836,0.7534883720930232
AMCR,385,19,0.13592582262780076,0.8947368421052632
AMD,5233,207,-0.6703138107291033,0.7536231884057971
AME,5243,211,6.201536158772166,0.8246445497630331
AMGN,5243,229,4.419443418479057,0.7641921397379913
AMP,3810,172,2.570862945989143,0.8430232558139535
AMT,5243,236,0.3612273239452052,0.8135593220338984
AMZN,5243,189,1.6141618125592838,0.7566137566137566
ANET,1615,62,1.7393836967386822,0.8225806451612904
ANSS,5233,250,53.90331716037663,0.86
AON,5243,242,6.401584004667878,0.8429752066115702
AOS,5243,237,9.48917130860518,0.8270042194092827
APA,5243,214,-0.46549172684922874,0.794392523364486
APD,5243,259,12.686265504974756,0.8532818532818532
APH,5243,211,2.6619280291071705,0.8199052132701422
APTV,2254,102,1.9412753321580984,0.8431372549019608
ARE,5243,249,4.974594466670333,0.8273092369477911
ATO,5243,270,12.498321599609753,0.8481481481481481
ATVI,5243,248,14.994966253984037,0.8467741935483871
AVB,5243,221,5.388533834132181,0.7918552036199095
AVGO,2831,126,9.632520078587225,0.873015873015873
AVY,5243,231,2.0956284935392997,0.7835497835497836
AWK,3156,158,7.395766127826283,0.879746835443038
AXP,5243,236,5.927298332027256,0.8177966101694916
AZO,5243,205,4.1941322835038335,0.8097560975609757
BA,5243,220,0.5178793478174964,0.7727272727272727
BAC,5243,238,-0.12672556442139402,0.7815126050420168
BAX,5243,230,2.291936648918739,0.8304347826086956
BBWI,5243,200,-0.5679984082176073,0.78
BBY,5243,212,0.7231973283495272,0.7877358490566038
BDX,5243,232,5.4861066251400015,0.8405172413793104
BEN,5243,232,1.4202375867616865,0.7801724137931034
BF-B,5243,231,5.73363559915884,0.8181818181818182
BIIB,5222,234,14.80895689623724,0.7948717948717948
BIO,5233,223,11.044211496416734,0.7937219730941704
BK,5243,255,16.70002933461901,0.8117647058823529
BKNG,5243,205,-0.5510130020638832,0.8146341463414634
BKR,5233,236,0.5913869032760607,0.7542372881355932
BLK,5243,239,11.060514908338579,0.8242677824267782
BMY,5243,225,1.6495549122339608,0.7911111111111111
BR,3430,138,0.46143201398673744,0.8115942028985508
BRK-B,5243,237,3.0925809939177342,0.8185654008438819
BRO,5233,234,7.451338531570818,0.8290598290598291
BSX,5243,236,2.7363183660014583,0.7838983050847458
BWA,5243,242,5.718232013609104,0.8264462809917356
BXP,5243,209,1.3906681208717087,0.7511961722488039
C,5243,220,-0.8323121411832333,0.759090909090909
CAG,5243,231,1.5474721506370464,0.8138528138528138
CAH,5243,216,2.3691732454893306,0.7916666666666666
CARR,159,7,0.23865929273828118,1.0
CAT,5243,205,0.6986250715733343,0.7658536585365854
CB,5233,265,20.879330324836673,0.8264150943396227
CBOE,2616,116,1.1208176703425428,0.8103448275862069
CBRE,4129,166,2.5896357859977646,0.8072289156626506
CCI,5233,252,4.3901834116539105,0.8531746031746031
CCL,5243,234,0.40139301034815095,0.7863247863247863
CDAY,636,30,0.770222224706684,0.8666666666666667
CDNS,5243,212,1.0647648692181064,0.8066037735849056
CDW,1852,79,2.201623763692594,0.8987341772151899
CE,3974,139,-0.4453634804255564,0.762589928057554
CF,3834,167,3.7583226438608737,0.8383233532934131
CFG,1539,66,-0.08137914441078715,0.803030303030303
CHD,5233,242,17.540536913307104,0.8305785123966942
CHRW,5243,244,23.975826917310236,0.8278688524590164
CHTR,2602,102,4.207772894262002,0.8431372549019608
CI,5243,215,0.4431903600356237,0.813953488372093
CINF,5243,241,3.779866689236152,0.8049792531120332
CL,5243,255,5.739713008702757,0.8274509803921568
CLX,5243,235,3.5281902889312544,0.8
CMA,5243,239,2.078050999293735,0.799163179916318
CMCSA,5243,228,4.734999750641849,0.793859649122807
CME,4508,212,8.482941268269311,0.8066037735849056
CMG,3719,142,2.018519734558753,0.8028169014084507
CMI,5243,219,4.575561594010851,0.8082191780821918
CMS,5243,225,-0.20801244899428717,0.8266666666666667
CNC,4737,182,4.512443037877084,0.7802197802197802
CNP,5243,238,-0.15297162648496346,0.7857142857142857
COF,5243,230,2.248178723042481,0.7956521739130434
COO,5243,217,2.869455705892487,0.8248847926267281
COP,5243,218,0.11748538945980347,0.7706422018348624
COST,5243,257,13.038998378574599,0.8210116731517509
CPB,5243,253,7.846707091685645,0.8300395256916996
CPRT,5243,219,6.004532556213799,0.8356164383561644
CRL,5113,222,3.7523182660560384,0.8243243243243243
CRM,4121,160,6.528074420976009,0.80625
CSCO,5243,234,1.0365200949335642,0.7735042735042735
CSX,5243,222,6.606581053960747,0.8108108108108109
CTAS,5243,226,5.491046044683748,0.8185840707964602
CTLT,1577,60,0.754030663196001,0.7666666666666667
CTRA,5243,237,11.450236385778485,0.7763713080168776
CTSH,5243,246,16.40659391249389,0.8373983739837398
CTVA,365,15,0.3732173533882636,0.8666666666666667
CVS,5243,217,2.1089936142307564,0.8110599078341014
CVX,5243,241,3.436165742918737,0.7842323651452282
CZR,1521,65,0.7175653974139572,0.8923076923076924
D,5243,254,3.497578050861018,0.8307086614173228
DAL,3401,140,1.154033091427499,0.7714285714285715
DD,5243,239,-0.06431620467472461,0.8117154811715481
DE,5243,211,4.065776846844635,0.7962085308056872
DFS,3372,143,1.2954770677877712,0.8111888111888111
DG,2761,119,2.754561755572209,0.8403361344537815
DGX,5243,231,6.023566672955248,0.8138528138528138
DHI,5243,243,7.884387923355367,0.823045267489712
DHR,5243,252,15.519265204080058,0.8849206349206349
DIS,5243,207,0.5303970324954952,0.7536231884057971
DISH,5243,225,-0.506622816435851,0.8
DLR,4031,188,20.408669800645036,0.851063829787234
DLTR,5243,211,2.9612134114452457,0.7867298578199052
DOV,5243,215,0.8062576356707699,0.7534883720930232
DOW,411,21,0.004713275819891481,0.9047619047619048
DPZ,4108,173,3.589199364614551,0.861271676300578
DRI,5243,224,7.07631743396764,0.7857142857142857
DTE,5243,242,4.8300551889339705,0.8223140495867769
DUK,5243,218,1.4617936838299734,0.8027522935779816
DVA,5243,217,22.096950174863938,0.8387096774193549
DVN,5243,216,-0.7082583642654512,0.7638888888888888
DXC,5243,196,-0.615254949903471,0.7704081632653061
DXCM,3907,154,2.350459483370398,0.8051948051948052
EA,5243,242,9.824599976228724,0.7975206611570248
EBAY,5243,212,0.6340609882154055,0.7405660377358491
ECL,5243,241,8.196045010442756,0.8423236514522822
ED,5243,222,1.647652278244806,0.8063063063063063
EFX,5243,238,2.354151231125367,0.8403361344537815
EIX,5243,228,0.6406471726136266,0.8289473684210527
EL,5243,232,4.460508077264342,0.8103448275862069
EMN,5243,218,0.07440223289378663,0.7844036697247706
EMR,5243,238,3.7497933966206674,0.7983193277310925
ENPH,2163,78,-0.5915515314114976,0.7692307692307693
EOG,5243,229,4.166642459934094,0.7860262008733624
EPAM,2199,86,3.1967145113637008,0.813953488372093
EQIX,5089,211,-0.09347806125977542,0.7914691943127962
EQR,5233,238,13.21888510708839,0.7941176470588235
ES,5243,233,2.0169415636538304,0.8154506437768241
ESS,5243,249,15.350911170486842,0.8313253012048193
ETN,5233,209,0.3489464198150167,0.7703349282296651
ETR,5243,223,1.876677099071422,0.7937219730941704
ETSY,1399,58,1.5720483973116153,0.8103448275862069
EVRG,5243,261,6.832973195058611,0.8275862068965517
EW,5185,235,28.990662603222596,0.8468085106382979
EXC,5243,241,1.6671830165740298,0.8091286307053942
EXPD,5243,250,26.113025991214798,0.828
EXPE,3849,164,6.378184292225278,0.8475609756097561
EXR,4084,163,3.617337277405935,0.8282208588957055
F,5243,232,-0.7807560530353833,0.75
FANG,2027,92,0.828570164659712,0.8260869565217391
FAST,5243,238,9.068782830100224,0.7773109243697479
FCX,5243,189,-0.8985169934511796,0.7407407407407407
FDS,5243,198,2.8652078570346564,0.7676767676767676
FDX,5243,224,2.4557654794460224,0.7946428571428571
FE,5243,231,1.0466822802637124,0.7922077922077922
FFIV,5243,200,-0.6079526320598851,0.75
FIS,4874,222,4.6614883341895315,0.8378378378378378
FITB,5243,235,0.047406448226539416,0.7829787234042553
FLT,2488,95,1.7577524122864208,0.8105263157894737
FMC,5243,215,2.040176972580643,0.8046511627906977
FOX,416,17,-0.1416136177218142,0.6470588235294118
FOXA,417,20,0.010094189959376235,0.75
FRT,5243,247,5.286203986474203,0.8137651821862348
FTNT,2758,104,1.689087955027747,0.7692307692307693
FTV,1092,45,0.07140107807822246,0.8222222222222222
GD,5243,242,1.8454158346394016,0.8016528925619835
GE,5243,237,-0.7695961076983573,0.7552742616033755
GILD,5222,251,76.22292840038398,0.8087649402390438
GIS,5243,247,3.6506779103358062,0.8178137651821862
GL,5243,259,7.29004243055144,0.8648648648648649
GLW,5243,204,-0.835217423325434,0.7401960784313726
GM,2506,93,-0.1786049288464248,0.6881720430107527
GNRC,2701,115,5.416311648785754,0.8521739130434782
GOOG,4081,149,0.5276524008624677,0.7919463087248322
GOOGL,4081,150,0.6173940017304556,0.8
GPC,5243,261,3.503338208287822,0.8237547892720306
GPN,4982,213,13.000196231223338,0.8356807511737089
GRMN,5006,191,0.4486324569586986,0.7539267015706806
GS,5243,198,-0.5009915171375414,0.7676767676767676
GWW,5243,217,3.017909667557287,0.8018433179723502
HAL,5243,192,-0.935469562214245,0.734375
HAS,5243,230,5.133732650942239,0.8130434782608695
HBAN,5243,255,2.4582962918080593,0.8235294117647058
HCA,2430,101,1.594087203456097,0.8118811881188119
HD,5243,220,0.719012382081532,0.7727272727272727
HES,5243,222,0.8070139791166664,0.7927927927927928
HIG,5243,213,-0.32859821409423057,0.784037558685446
HII,2422,83,-0.013691538558003143,0.8192771084337349
HLT,1735,70,0.15665288362017135,0.7571428571428571
HOLX,5243,221,9.85470653074817,0.8144796380090498
HON,5243,245,1.6025006919649722,0.8326530612244898
HPE,1270,55,0.7774587449768215,0.8363636363636363
HPQ,5243,213,0.5984712863395912,0.7511737089201878
HRL,5243,258,11.007876710447238,0.8372093023255814
HSIC,5243,248,10.91959475581665,0.8669354838709677
HST,5243,234,4.402265496839381,0.7863247863247863
HSY,5243,234,3.941109682781146,0.811965811965812
HUM,5243,218,5.572571242071105,0.8211009174311926
HWM,1008,39,-0.13729738964345353,0.7948717948717948
IBM,5243,222,-0.09535921445509779,0.7522522522522522
ICE,3766,183,11.302546672036561,0.8360655737704918
IDXX,5243,212,9.401205561767291,0.8207547169811321
IEX,5243,220,5.361226220832108,0.8409090909090909
IFF,5243,208,0.5423293981984357,0.7644230769230769
ILMN,5099,196,0.0716436962043182,0.8061224489795918
INCY,5243,225,-0.17141952661364654,0.7422222222222222
INTC,5243,206,-0.05858569757926557,0.7621359223300971
INTU,5243,229,24.84633095707959,0.834061135371179
IP,5243,223,0.04329921275892749,0.7623318385650224
IPG,5243,241,0.49822733990063006,0.7925311203319502
IPGP,3496,145,0.8566682027978415,0.8068965517241379
IQV,1886,84,1.1615834717448033,0.8452380952380952
IR,876,28,-0.2126242937614693,0.7142857142857143
IRM,5243,216,1.9567844673856343,0.7592592592592593
ISRG,5128,198,5.469886114921772,0.8080808080808081
IT,5243,212,3.6060805083425853,0.7971698113207547
ITW,5243,238,6.722410952116224,0.8025210084033614
IVZ,5243,220,-0.1370831853258433,0.7681818181818182
J,5243,199,1.85621337434639,0.7939698492462312
JBHT,5243,243,13.397143001479382,0.8189300411522634
JCI,5243,234,0.3383599226152413,0.811965811965812
JKHY,5243,238,10.331566788287052,0.8571428571428571
JNJ,5243,244,3.1172123644071426,0.8155737704918032
JNPR,5243,212,-0.7955519727831752,0.7264150943396226
JPM,5243,223,1.4106300415565465,0.7892376681614349
K,5243,274,9.684395784835214,0.8175182481751825
KEY,5243,261,10.093057926221936,0.8045977011494253
KEYS,1521,65,0.8822361479904608,0.8
KHC,1344,56,-0.1114024283042046,0.7678571428571429
KIM,5243,222,0.2000664466380158,0.7882882882882883
KLAC,5243,220,2.5497438996915043,0.7681818181818182
KMB,5243,243,2.376488554264202,0.7901234567901234
KMI,2448,98,-0.47019871890297565,0.7857142857142857
KMX,5243,181,1.029094952992859,0.7955801104972375
KO,5243,252,3.2352104646632185,0.7936507936507936
KR,5243,237,5.910972281847176,0.8270042194092827
L,5233,228,1.566695205707334,0.8026315789473685
LDOS,3536,157,1.7982934119542442,0.7834394904458599
LEN,5243,258,16.682630608395492,0.7868217054263565
LH,5233,231,7.503064554320981,0.8398268398268398
LHX,5243,216,3.881183067536842,0.7916666666666666
LIN,5243,238,9.530992074412298,0.8445378151260504
LKQ,4300,172,2.987787389533676,0.8197674418604651
LLY,5243,238,3.814168693437876,0.7857142857142857
LMT,5243,258,8.40371220545871,0.8527131782945736
LNC,5243,228,1.2022939507670887,0.8114035087719298
LNT,5243,249,3.3369192761962805,0.8313253012048193
LOW,5243,215,1.4765051396876718,0.7953488372093023
LRCX,5243,220,5.387432924347525,0.7909090909090909
LUMN,5243,213,-0.37436937187020036,0.7605633802816901
LUV,5243,199,-0.2892744399856463,0.7286432160804021
LVS,3999,155,-0.8648172534491387,0.7548387096774194
LW,1001,40,0.6101191773619852,0.85
LYB,2649,112,0.9926436666098002,0.7946428571428571
LYV,3742,157,-0.3263713754987291,0.8471337579617835
MA,3636,156,12.741803005362566,0.8974358974358975
MAA,5243,239,14.567018025615543,0.8158995815899581
MAR,5243,216,0.8980436950753182,0.7962962962962963
MAS,5233,237,2.904908849403832,0.8227848101265823
MCD,5243,237,4.0869281186906,0.8312236286919831
MCHP,5243,226,10.21636122402255,0.8008849557522124
MCK,5243,214,0.5483691092290718,0.780373831775701
MCO,5233,212,2.7049747741109402,0.8584905660377359
MDLZ,4879,236,3.660535227120758,0.809322033898305
MDT,5243,239,3.4641120044568376,0.8535564853556485
MET,5178,249,16.194184423003037,0.8313253012048193
MGM,5233,212,-0.6479365355385533,0.7594339622641509
MHK,5243,214,0.15441764122223994,0.8037383177570093
MKC,5243,247,7.720954572014568,0.8502024291497976
MKTX,4026,169,21.12564146234861,0.7988165680473372
MLM,5243,226,2.4025482130768467,0.7876106194690266
