,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,206,1.4965046498236572,0.6699029126213593
AAL,3802,142,-0.9486979239993637,0.6126760563380281
AAP,4765,201,5.147952274054072,0.7562189054726368
AAPL,5243,199,2.648839414211054,0.7185929648241206
ABBV,1974,76,0.69422044912894,0.6973684210526315
ABC,5243,213,10.136144062914834,0.7230046948356808
ABMD,5223,199,0.6216842696539073,0.678391959798995
ABT,5243,222,6.779039324093385,0.7387387387387387
ACN,4854,195,8.30298307146677,0.7435897435897436
ADBE,5243,228,76.24892481928585,0.7587719298245614
ADI,5243,215,6.518836959257271,0.6744186046511628
ADM,5243,215,6.707565380049014,0.7395348837209302
ADP,5243,218,3.1132779729067908,0.7293577981651376
ADSK,5243,203,1.2053488562489814,0.729064039408867
AEE,5243,208,0.5551894766099593,0.7403846153846154
AEP,5243,217,1.0482104530417733,0.7188940092165899
AES,5243,227,-0.4744678637853402,0.7004405286343612
AFL,5243,216,1.6811137511850953,0.7314814814814815
AIG,5243,206,-0.9757162883858829,0.6747572815533981
AIZ,4216,177,0.9740055857439738,0.7570621468926554
AJG,5243,207,2.3644984373252167,0.7294685990338164
AKAM,5243,196,-0.6876151412250537,0.6581632653061225
ALB,5243,217,5.729504029618345,0.7004608294930875
ALGN,4972,187,2.923248460355408,0.6737967914438503
ALK,5243,204,0.33455213958785984,0.696078431372549
ALL,5243,215,0.9991099233497782,0.7627906976744186
ALLE,1752,68,0.2696906512153861,0.75
AMAT,5243,215,6.784571551150517,0.6837209302325581
AMCR,385,16,0.012423096912601963,0.875
AMD,5233,205,-0.42108349997855504,0.6682926829268293
AME,5243,213,7.103735526831464,0.7464788732394366
AMGN,5243,196,1.1005873027720694,0.6683673469387755
AMP,3810,159,1.3702542261795438,0.7547169811320755
AMT,5243,217,2.2018453254331223,0.7741935483870968
AMZN,5243,202,18.0719362867412,0.7128712871287128
ANET,1615,64,1.8841084379217308,0.6875
ANSS,5233,228,44.81140056953384,0.7807017543859649
AON,5243,215,6.471001125891254,0.7581395348837209
AOS,5243,215,5.775020882421646,0.7441860465116279
APA,5243,197,-0.697272779362965,0.649746192893401
APD,5243,234,8.92259949881322,0.7393162393162394
APH,5243,199,1.8429380130470865,0.7085427135678392
APTV,2254,94,1.8773220841299827,0.8191489361702128
ARE,5243,227,2.429642387672244,0.748898678414097
ATO,5243,230,5.213770536791522,0.7782608695652173
ATVI,5243,205,4.796671037588884,0.7268292682926829
AVB,5243,216,2.8448526322819645,0.7268518518518519
AVGO,2831,107,3.859415971714572,0.719626168224299
AVY,5243,210,0.2986432480962474,0.6904761904761905
AWK,3156,150,5.658790847393369,0.7933333333333333
AXP,5243,218,4.761151592866412,0.7247706422018348
AZO,5243,224,8.65741775201435,0.7455357142857143
BA,5243,211,0.6055966180700495,0.7203791469194313
BAC,5243,197,-0.3681503620387025,0.6649746192893401
BAX,5243,214,4.423905475167961,0.7523364485981309
BBWI,5243,211,-0.2212814561274231,0.6824644549763034
BBY,5243,215,3.620640657248444,0.6883720930232559
BDX,5243,212,2.1919555735407776,0.7216981132075472
BEN,5243,201,0.057255104696156925,0.6915422885572139
BF-B,5243,201,1.4633174791954104,0.6965174129353234
BIIB,5222,196,3.7937759714480705,0.6887755102040817
BIO,5233,198,5.971578100444299,0.7171717171717171
BK,5243,211,2.049290119259913,0.6919431279620853
BKNG,5243,206,1.6235059139468517,0.7135922330097088
BKR,5233,203,-0.11183538060542929,0.645320197044335
BLK,5243,219,11.798040474424868,0.7442922374429224
BMY,5243,204,0.4502510034274382,0.696078431372549
BR,3430,134,1.8822284280765442,0.753731343283582
BRK-B,5243,216,2.0951117879482606,0.6898148148148148
BRO,5233,210,2.1675213226316083,0.6857142857142857
BSX,5243,227,7.775833536611812,0.7224669603524229
BWA,5243,207,1.4335349234676753,0.7246376811594203
BXP,5243,219,2.312166732076827,0.6986301369863014
C,5243,203,-0.7089076396094349,0.6650246305418719
CAG,5243,204,-0.023080584661983886,0.7058823529411765
CAH,5243,219,2.944824515526498,0.7214611872146118
CARR,159,5,0.5713221763213779,0.8
CAT,5243,197,-0.1015807820653948,0.6954314720812182
CB,5233,233,9.48669978541052,0.7639484978540773
CBOE,2616,121,1.2242123879332807,0.7851239669421488
CBRE,4129,162,10.443088675536845,0.691358024691358
CCI,5233,213,1.467686512902067,0.6948356807511737
CCL,5243,204,-0.658049693612085,0.6862745098039216
CDAY,636,31,1.6983366066121337,0.8709677419354839
CDNS,5243,194,2.771375668930538,0.7061855670103093
CDW,1852,71,1.2169809468714512,0.7464788732394366
CE,3974,157,4.256100563316748,0.6942675159235668
CF,3834,160,6.151339110281458,0.73125
CFG,1539,64,-0.1400782541975847,0.625
CHD,5233,224,18.80556501067979,0.7589285714285714
CHRW,5243,214,6.189149688570123,0.7149532710280374
CHTR,2602,107,6.922035491483228,0.719626168224299
CI,5243,202,4.051173139645001,0.7326732673267327
CINF,5243,211,0.77715310509697,0.7203791469194313
CL,5243,230,7.307627516464082,0.782608695652174
CLX,5243,208,1.834899020511895,0.7067307692307693
CMA,5243,216,1.8749430435198746,0.7037037037037037
CMCSA,5243,211,4.835544457853922,0.6919431279620853
CME,4508,177,5.209495996166514,0.7062146892655368
CMG,3719,158,10.818252985652013,0.740506329113924
CMI,5243,210,3.7933194103708807,0.6952380952380952
CMS,5243,205,0.11673817944226297,0.7317073170731707
CNC,4737,194,16.234218749846868,0.7164948453608248
CNP,5243,221,-0.18947981529612618,0.7149321266968326
COF,5243,211,1.2510017911212765,0.7251184834123223
COO,5243,215,7.907109301530245,0.7581395348837209
COP,5243,216,0.34221866425409775,0.6620370370370371
COST,5243,218,7.7172652604631935,0.7385321100917431
CPB,5243,214,1.709510319677468,0.6915887850467289
CPRT,5243,206,3.2107609929256857,0.7378640776699029
CRL,5113,194,2.07650427627149,0.7268041237113402
CRM,4121,166,13.554403220314319,0.7228915662650602
CSCO,5243,212,1.1153758262560574,0.6981132075471698
CSX,5243,220,14.262274805901193,0.7545454545454545
CTAS,5243,206,4.3097266236303815,0.7475728155339806
CTLT,1577,54,-0.04567208758848614,0.6666666666666666
CTRA,5243,224,11.579448256253732,0.7321428571428571
CTSH,5243,205,4.2606140040887945,0.7317073170731707
CTVA,365,14,0.34669945910948935,0.8571428571428571
CVS,5243,210,4.727159640305357,0.680952380952381
CVX,5243,189,-0.4037112911581905,0.656084656084656
CZR,1521,60,1.4664859170024702,0.7833333333333333
D,5243,214,3.05756453011519,0.7336448598130841
DAL,3401,129,0.35638271702109,0.6821705426356589
