,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,146,1.2638871639928058,0.7328767123287672
AAL,3802,104,-0.939263648894352,0.5769230769230769
AAP,4765,130,3.392388751200517,0.7692307692307693
AAPL,5243,132,0.4782914590189613,0.75
ABBV,1974,48,0.12383646771970112,0.625
ABC,5243,138,4.049868275114264,0.6956521739130435
ABMD,5223,142,0.31835147624258675,0.647887323943662
ABT,5243,149,3.205971379712089,0.7181208053691275
ACN,4854,136,6.488062649710036,0.7132352941176471
ADBE,5243,153,24.976443428343774,0.7777777777777778
ADI,5243,165,12.202179097007393,0.6606060606060606
ADM,5243,155,3.1870012196526227,0.7741935483870968
ADP,5243,159,3.481783027186909,0.7044025157232704
ADSK,5243,145,2.710240890830295,0.7379310344827587
AEE,5243,154,1.1499168012144008,0.7142857142857143
AEP,5243,143,0.5104802109069652,0.7062937062937062
AES,5243,148,-0.6984305584974685,0.6554054054054054
AFL,5243,163,2.285072363959588,0.7177914110429447
AIG,5243,141,-0.9841653609454488,0.6453900709219859
AIZ,4216,121,0.7888706744214965,0.7272727272727273
AJG,5243,145,3.275984692144867,0.7172413793103448
AKAM,5243,135,-0.7391739843535038,0.674074074074074
ALB,5243,148,3.885589001410187,0.668918918918919
ALGN,4972,132,6.58853471107776,0.696969696969697
ALK,5243,143,1.0888475268768723,0.6853146853146853
ALL,5243,148,0.5014382364920885,0.75
ALLE,1752,52,0.5913150199189701,0.7692307692307693
AMAT,5243,150,3.7236793571375792,0.6533333333333333
AMCR,385,14,0.23502362439194321,0.8571428571428571
AMD,5233,137,-0.8305142978242547,0.656934306569343
AME,5243,153,8.720553863110686,0.7320261437908496
AMGN,5243,148,2.5403024756689967,0.6756756756756757
AMP,3810,108,0.8509320776612226,0.75
AMT,5243,156,0.21730847578710574,0.7756410256410257
AMZN,5243,139,8.308328650830363,0.697841726618705
ANET,1615,42,1.2648529991700612,0.6190476190476191
ANSS,5233,165,46.17051851845588,0.793939393939394
AON,5243,152,4.911459498198884,0.7894736842105263
AOS,5243,156,13.369074338951574,0.7628205128205128
APA,5243,154,0.6628941257928647,0.6688311688311688
APD,5243,169,9.173262713739824,0.7869822485207101
APH,5243,137,1.141160398713467,0.7007299270072993
APTV,2254,68,3.9028915646989906,0.7941176470588235
ARE,5243,165,2.756930722245471,0.7333333333333333
ATO,5243,176,7.451202016778484,0.7613636363636364
ATVI,5243,151,12.05060553876469,0.7417218543046358
AVB,5243,149,3.04376471507384,0.7046979865771812
AVGO,2831,75,3.126130168646086,0.7066666666666667
AVY,5243,152,0.5991653720318666,0.6842105263157895
AWK,3156,100,5.070909575966449,0.83
AXP,5243,161,14.285539306841303,0.7515527950310559
AZO,5243,134,3.8723266897745963,0.7014925373134329
BA,5243,143,0.939144738385959,0.6853146853146853
BAC,5243,154,0.4770729498555586,0.6948051948051948
BAX,5243,152,3.2929072871283496,0.7368421052631579
BBWI,5243,138,-0.5499895314923751,0.6739130434782609
BBY,5243,150,1.20305615537258,0.7
BDX,5243,150,3.1956936844729587,0.7466666666666667
BEN,5243,152,2.064663609719819,0.6644736842105263
BF-B,5243,144,3.222402008817357,0.6597222222222222
BIIB,5222,143,5.39033971780047,0.6783216783216783
BIO,5233,137,8.926949821492313,0.7153284671532847
BK,5243,154,3.2882490055641167,0.7077922077922078
