,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,15,0.5124962266808489,0.7333333333333333
AAL,3802,21,1.632740985573307,0.6190476190476191
AAP,4765,16,3.1245951974133885,0.75
AAPL,5243,17,2.38996785198961,0.8235294117647058
ABBV,1974,4,0.19950654696920467,0.75
ABC,5243,18,2.196567768143937,0.7222222222222222
ABMD,5223,29,15.651168545098622,0.8620689655172413
ABT,5243,23,5.891926654649026,0.782608695652174
ACN,4854,16,3.026785822555798,0.9375
ADBE,5243,12,1.3954972065805025,0.75
ADI,5243,17,2.3431040973585544,0.5294117647058824
ADM,5243,14,0.3606324560241869,0.7142857142857143
ADP,5243,14,1.2838162040178924,0.7857142857142857
ADSK,5243,21,0.27422899613894475,0.7619047619047619
AEE,5243,13,0.24045800404356885,0.8461538461538461
AEP,5243,15,1.7659014623661955,0.8666666666666667
AES,5243,14,-0.8359296454129228,0.6428571428571429
AFL,5243,16,1.7675672985652386,0.75
AIG,5243,19,-0.9707269819602738,0.631578947368421
AIZ,4216,11,2.1419405751868776,0.8181818181818182
AJG,5243,14,-0.08859154633647122,0.6428571428571429
AKAM,5243,16,-0.8551397540842055,0.6875
ALB,5243,22,3.838057365138986,0.6818181818181818
ALGN,4972,18,2.0340490003277667,0.7222222222222222
ALK,5243,24,2.750365818484333,0.6666666666666666
ALL,5243,15,0.11145643430473749,0.6666666666666666
ALLE,1752,5,0.8803125798578476,1.0
AMAT,5243,13,-0.5639445272517151,0.38461538461538464
AMCR,,,,
AMD,5233,19,-0.5921020540685396,0.5789473684210527
AME,5243,13,1.5425725241189996,0.8461538461538461
AMGN,5243,15,1.1230076082204128,0.7333333333333333
AMP,3810,9,1.381335164861549,0.7777777777777778
AMT,5243,15,-0.3472442723756797,0.6666666666666666
AMZN,5243,16,3.6944650458290607,0.875
ANET,1615,5,1.8560213154308791,1.0
ANSS,5233,13,4.1094621994339215,0.9230769230769231
AON,5243,22,3.8081531943384994,0.9090909090909091
AOS,5243,19,5.723113589803262,0.8421052631578947
APA,5243,16,-0.70861223227154,0.5625
APD,5243,15,1.6604453016516767,0.9333333333333333
APH,5243,18,2.2140598874065267,0.7222222222222222
APTV,2254,5,0.9330262079806649,0.8
ARE,5243,16,0.8627639734609838,0.9375
ATO,5243,15,1.7631572145070802,0.8666666666666667
ATVI,5243,17,3.1532082866651847,0.7647058823529411
AVB,5243,16,0.1200861982524041,0.75
AVGO,2831,10,3.4359732116084025,0.9
AVY,5243,18,0.4716736256362223,0.7222222222222222
AWK,3156,11,1.7038558757421054,0.9090909090909091
AXP,5243,19,4.909685810586608,0.8421052631578947
AZO,5243,18,2.684982557085104,0.7777777777777778
BA,5243,18,-0.03720816882828623,0.6666666666666666
BAC,5243,17,-0.023505313123384608,0.7058823529411765
BAX,5243,15,2.073967423872002,0.8
BBWI,5243,15,-0.501380796678673,0.6
BBY,5243,15,0.27154587251632356,0.6666666666666666
BDX,5243,13,2.0457937116140807,0.9230769230769231
BEN,5243,15,1.1948431012691674,0.6666666666666666
BF-B,5243,21,3.974710702514271,0.8571428571428571
BIIB,5222,15,3.815876121990838,0.8666666666666667
BIO,5233,23,5.056015709801654,0.782608695652174
BK,5243,13,1.015544010398148,0.7692307692307693
BKNG,5243,21,-0.4336961748456866,0.8095238095238095
BKR,5233,19,-0.3158935602349223,0.5263157894736842
BLK,5243,14,1.8523433103132634,0.7142857142857143
BMY,5243,19,0.6222950877814605,0.6842105263157895
BR,3430,14,1.7401002917721589,0.8571428571428571
BRK-B,5243,18,2.4925381555208723,0.8888888888888888
BRO,5233,17,1.0389837711978058,0.7647058823529411
BSX,5243,14,-0.45047940550860377,0.5
BWA,5243,20,5.157020820125604,0.8
BXP,5243,17,0.28910338618682513,0.8235294117647058
C,5243,21,-0.6756274654739909,0.7619047619047619
CAG,5243,20,2.535169300194884,0.85
CAH,5243,16,0.3637227861469451,0.6875
CARR,,,,
CAT,5243,15,0.031157371487476163,0.6
CB,5233,18,7.595096490545105,0.8888888888888888
CBOE,2616,8,0.8329360308342576,1.0
CBRE,4129,10,1.001528862077521,0.8
CCI,5233,23,1.935453001598514,0.8260869565217391
CCL,5243,22,1.1298303014229392,0.7727272727272727
CDAY,636,1,0.210395209984652,1.0
CDNS,5243,19,0.7049278319469232,0.7894736842105263
CDW,1852,4,0.44659108430681427,0.75
CE,3974,14,1.8812071079351766,0.8571428571428571
CF,3834,9,-0.3699827668748557,0.3333333333333333
CFG,1539,4,0.15548160739021236,0.5
CHD,5233,19,6.210544289895373,0.9473684210526315
CHRW,5243,17,6.069802686994501,0.8823529411764706
CHTR,2602,10,1.9855945212585806,1.0
CI,5243,22,0.6891386144978194,0.7727272727272727
CINF,5243,19,1.7627364361975435,0.8947368421052632
CL,5243,13,1.82051494974607,0.8461538461538461
CLX,5243,15,2.199873017202303,0.9333333333333333
CMA,5243,14,0.28836834878151746,0.7142857142857143
CMCSA,5243,17,1.0982416769832066,0.7647058823529411
CME,4508,16,2.314162682283678,0.875
CMG,3719,15,2.4114623773072954,0.7333333333333333
CMI,5243,20,9.615024210431448,0.75
CMS,5243,15,0.1202590209959601,0.7333333333333333
CNC,4737,16,1.478854686385205,0.75
CNP,5243,18,-0.05361518791066087,0.6666666666666666
COF,5243,16,1.7170929968307116,0.875
COO,5243,21,3.510990379465881,0.7142857142857143
COP,5243,14,-0.134060310601066,0.6428571428571429
COST,5243,16,7.205002810223135,0.9375
