,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,17,-0.0861968333715212,0.6470588235294118
AAL,3802,16,-0.34601431085911233,0.625
AAP,4765,17,0.6059936508500716,0.5882352941176471
AAPL,5243,14,0.4449487890545661,0.6428571428571429
ABBV,1974,7,0.8144096549572009,0.8571428571428571
ABC,5243,21,7.9232211329673135,0.8571428571428571
ABMD,5223,20,1.9204212128509284,0.75
ABT,5243,21,3.6497389118200716,0.8571428571428571
ACN,4854,15,3.1566656803501565,0.8666666666666667
ADBE,5243,16,3.3722958416909994,0.75
ADI,5243,16,3.0535579697210906,0.75
ADM,5243,19,0.7742597947096126,0.6842105263157895
ADP,5243,21,3.197969608593595,0.8571428571428571
ADSK,5243,19,2.5110214889641176,0.7894736842105263
AEE,5243,21,3.962461559973361,0.9047619047619048
AEP,5243,17,0.5730757049733524,0.7058823529411765
AES,5243,16,-0.8935272912676399,0.75
AFL,5243,15,0.4518500372105106,0.7333333333333333
AIG,5243,19,-0.9748672911731681,0.631578947368421
AIZ,4216,15,0.7970585762077181,0.8666666666666667
AJG,5243,17,2.00977451372904,0.7058823529411765
AKAM,5243,15,-0.9762676208024694,0.5333333333333333
ALB,5243,16,1.227559585673911,0.625
ALGN,4972,19,1.6884875946618956,0.7368421052631579
ALK,5243,15,1.7780497334027128,0.7333333333333333
ALL,5243,16,0.2681065003757274,0.5625
ALLE,1752,7,0.8226768558733989,0.8571428571428571
AMAT,5243,13,0.15115988238263062,0.5384615384615384
AMCR,385,1,0.08247424808923481,1.0
AMD,5233,21,-0.29963203453117876,0.6190476190476191
AME,5243,16,5.269363409727884,0.9375
AMGN,5243,21,5.181992109751378,0.8095238095238095
AMP,3810,12,0.4137398044652329,0.5833333333333334
AMT,5243,14,-0.3558625422031331,0.9285714285714286
AMZN,5243,18,1.4863472801958741,0.8333333333333334
ANET,1615,8,2.277407004365824,0.875
ANSS,5233,17,16.332732675419923,0.8823529411764706
AON,5243,18,1.550143684454591,0.8333333333333334
AOS,5243,24,11.912458352200677,0.875
APA,5243,19,0.4964948142955315,0.5789473684210527
APD,5243,15,2.4345465733598104,0.9333333333333333
APH,5243,19,5.286653168358622,0.8421052631578947
APTV,2254,8,0.7098707657193839,0.875
ARE,5243,21,2.3600152360740037,0.8571428571428571
ATO,5243,17,3.484793627804682,0.8823529411764706
ATVI,5243,14,2.5866294167759865,0.8571428571428571
AVB,5243,15,-0.016690710401027695,0.6
AVGO,2831,10,5.348404162815264,1.0
AVY,5243,17,0.09084693697537109,0.7647058823529411
AWK,3156,9,1.5203938303244393,1.0
AXP,5243,13,-0.13340725304817663,0.6923076923076923
AZO,5243,16,5.318993834036628,0.9375
BA,5243,18,0.5706223757761274,0.7777777777777778
