,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,272,-0.2694513076474082,0.8014705882352942
AAL,3802,198,-0.9485665695456748,0.7424242424242424
AAP,4765,245,1.9912154047286807,0.8122448979591836
AAPL,5243,266,0.460707710381764,0.8045112781954887
ABBV,1974,95,0.403875362245789,0.7473684210526316
ABC,5243,285,8.54354567299325,0.8245614035087719
ABMD,5223,298,2.2051965135834957,0.8053691275167785
ABT,5243,317,4.415596991138632,0.8422712933753943
ACN,4854,261,5.6373111887276295,0.8084291187739464
ADBE,5243,301,17.04034457888868,0.8372093023255814
ADI,5243,318,7.543884732999358,0.779874213836478
ADM,5243,304,2.6963977258817415,0.8256578947368421
ADP,5243,343,4.766343774847988,0.8075801749271136
ADSK,5243,283,1.954716027262609,0.8056537102473498
AEE,5243,336,2.105487138355766,0.8273809523809523
AEP,5243,294,0.21976427983243343,0.782312925170068
AES,5243,298,-0.8515823935083505,0.7718120805369127
AFL,5243,344,7.080854443697061,0.8401162790697675
AIG,5243,273,-0.9879205124611299,0.7582417582417582
AIZ,4216,248,3.4064594362558203,0.8185483870967742
AJG,5243,301,4.974394251710344,0.8039867109634552
AKAM,5243,267,-0.8866352135239011,0.7790262172284644
ALB,5243,299,7.009348240724038,0.8060200668896321
ALGN,4972,258,1.0785483747803206,0.7906976744186046
ALK,5243,291,5.859402292872187,0.7938144329896907
ALL,5243,291,1.7486030002684942,0.8213058419243986
ALLE,1752,95,0.20825943936971295,0.7894736842105263
AMAT,5243,291,1.265788196744349,0.7628865979381443
AMCR,385,26,0.13733119270234415,0.9230769230769231
AMD,5233,246,-0.8113956115314174,0.7479674796747967
AME,5243,296,7.376297177824546,0.8412162162162162
AMGN,5243,310,8.327559923896695,0.7806451612903226
AMP,3810,221,2.825676908620512,0.832579185520362
AMT,5243,310,0.05556626348442375,0.8032258064516129
AMZN,5243,280,5.091869628369588,0.8035714285714286
ANET,1615,82,2.023546517086871,0.8048780487804879
ANSS,5233,321,38.90219539394385,0.8535825545171339
AON,5243,306,6.361584729020752,0.826797385620915
AOS,5243,317,10.9088118751611,0.832807570977918
APA,5243,293,-0.44345061248145046,0.7747440273037542
APD,5243,344,10.893668134716345,0.8459302325581395
APH,5243,261,1.3872209236811488,0.7931034482758621
APTV,2254,131,1.6933650464956709,0.8549618320610687
ARE,5243,317,4.976853514936612,0.804416403785489
ATO,5243,372,15.193008510678096,0.8655913978494624
ATVI,5243,322,20.147060680490753,0.8385093167701864
AVB,5243,321,10.991439391314069,0.7912772585669782
AVGO,2831,178,13.179185493535826,0.848314606741573
AVY,5243,306,2.3272971123942514,0.7941176470588235
AWK,3156,190,6.6764803426061965,0.8631578947368421
AXP,5243,322,7.64145023390265,0.8136645962732919
AZO,5243,244,3.6069632043356616,0.7950819672131147
BA,5243,293,0.9191877147949473,0.7952218430034129
BAC,5243,318,-0.06592452123422188,0.8113207547169812
BAX,5243,314,2.600299176843269,0.8184713375796179
BBWI,5243,271,-0.5619259933902436,0.7749077490774908
BBY,5243,291,2.8457798376892605,0.7972508591065293
BDX,5243,318,6.721748665299147,0.8333333333333334
BEN,5243,319,4.595093082383818,0.8087774294670846
BF-B,5243,314,6.819153323408546,0.8248407643312102
BIIB,5222,294,10.535571454898465,0.7891156462585034
BIO,5233,284,11.63438483745141,0.795774647887324
BK,5243,315,12.785409826110563,0.8
BKNG,5243,262,-0.8657891407161101,0.7862595419847328
BKR,5233,315,0.3200772159114876,0.7714285714285715
BLK,5243,303,10.261998032080694,0.8283828382838284
BMY,5243,305,1.7010401755062599,0.7901639344262295
BR,3430,158,0.34608396953171955,0.8164556962025317
BRK-B,5243,328,5.172236050494006,0.8170731707317073
BRO,5233,298,5.4031627679204925,0.8053691275167785
BSX,5243,314,3.870540945311807,0.7929936305732485
BWA,5243,306,4.013304796938161,0.826797385620915
BXP,5243,292,3.1577315090230624,0.7534246575342466
C,5243,291,-0.8483161566129208,0.7766323024054983
CAG,5243,299,1.0161866111394613,0.7959866220735786
CAH,5243,296,5.0108258354924695,0.8108108108108109
CARR,159,7,0.11877001726710633,1.0
CAT,5243,265,0.27379306126245645,0.7433962264150943
CB,5233,337,9.812816586684656,0.8130563798219584
CBOE,2616,137,0.624108536947154,0.8029197080291971
CBRE,4129,214,2.981138254231238,0.7757009345794392
CCI,5233,333,2.912534401055802,0.8408408408408409
CCL,5243,298,0.8012150076949871,0.802013422818792
CDAY,636,34,0.633986496678496,0.8823529411764706
CDNS,5243,292,1.1468505157307336,0.7876712328767124
CDW,1852,103,1.9492127371976338,0.883495145631068
CE,3974,202,-0.3209803845834535,0.7920792079207921
CF,3834,214,2.3881824999667027,0.8271028037383178
CFG,1539,93,0.29422787974690345,0.8172043010752689
CHD,5233,305,19.05658407167353,0.8459016393442623
CHRW,5243,330,30.947076382630332,0.8181818181818182
CHTR,2602,125,3.5032022022290743,0.848
CI,5243,277,0.13140019073966636,0.8194945848375451
CINF,5243,325,7.292529055490912,0.8215384615384616
CL,5243,333,9.29925370446933,0.8258258258258259
CLX,5243,320,4.8815217042872465,0.8125
CMA,5243,313,2.8239465615288197,0.8019169329073482
CMCSA,5243,318,8.143841632625493,0.8144654088050315
CME,4508,272,6.726076347644185,0.7720588235294118
CMG,3719,185,1.025321989448664,0.7891891891891892
CMI,5243,283,2.473677330663636,0.8162544169611308
CMS,5243,282,-0.13940678683865723,0.8226950354609929
CNC,4737,261,6.332088799308294,0.8045977011494253
CNP,5243,309,0.35345768551723333,0.8187702265372169
COF,5243,306,7.7241456939168,0.803921568627451
COO,5243,269,1.751447937262612,0.8252788104089219
COP,5243,312,0.6507059960082213,0.7852564102564102
COST,5243,337,11.300363659787903,0.827893175074184
CPB,5243,337,5.706626312361994,0.8100890207715133
CPRT,5243,271,4.123414172924508,0.8265682656826568
CRL,5113,264,1.6449517519657753,0.803030303030303
CRM,4121,215,7.255718819311482,0.8
CSCO,5243,287,0.20168025208044565,0.7630662020905923
CSX,5243,305,11.933231363417402,0.839344262295082
CTAS,5243,301,6.605673023942656,0.8272425249169435
CTLT,1577,90,1.5013501052969416,0.8333333333333334
CTRA,5243,316,10.040687047834627,0.8006329113924051
CTSH,5243,309,12.629745176186523,0.8284789644012945
CTVA,365,20,0.45842611005527456,0.85
CVS,5243,313,2.3010422939225728,0.805111821086262
CVX,5243,330,2.9685027411625486,0.8333333333333334
CZR,1521,79,0.3712847009764479,0.8607594936708861
D,5243,337,5.465353973613948,0.8486646884272997
DAL,3401,195,2.309137248684746,0.7846153846153846
DD,5243,311,0.4351329650095373,0.7684887459807074
DE,5243,275,2.3692368405794753,0.7636363636363637
DFS,3372,189,1.5168553294083207,0.8148148148148148
DG,2761,164,3.5415438149323957,0.8109756097560976
DGX,5243,277,4.865794486771643,0.7978339350180506
DHI,5243,315,16.43997533370193,0.8
DHR,5243,320,15.197966946575104,0.834375
DIS,5243,304,2.002901020626277,0.805921052631579
DISH,5243,297,-0.21733851950796623,0.835016835016835
DLR,4031,250,30.211217981951417,0.856
DLTR,5243,278,3.9157157243785234,0.802158273381295
DOV,5243,315,2.535957038016813,0.7904761904761904
DOW,411,20,-0.21403577611390967,0.8
DPZ,4108,206,2.3051581625932713,0.8446601941747572
DRI,5243,330,12.553118168217699,0.8212121212121212
DTE,5243,334,6.253705460972967,0.8353293413173652
DUK,5243,296,1.9615509024072288,0.7905405405405406
DVA,5243,280,19.008191055052396,0.8142857142857143
DVN,5243,280,-0.7965249595459647,0.75
DXC,5243,253,-0.5700532637229776,0.758893280632411
DXCM,3907,201,7.722645162213706,0.8109452736318408
EA,5243,305,9.791473712160524,0.8
EBAY,5243,291,1.1861268808984746,0.7628865979381443
ECL,5243,349,14.563156731447231,0.8510028653295129
ED,5243,311,1.8132925779070375,0.8102893890675241
EFX,5243,284,2.1839436136497454,0.823943661971831
EIX,5243,305,1.052482409587455,0.8229508196721311
EL,5243,287,5.775130906002162,0.8292682926829268
EMN,5243,290,0.7827435459385824,0.803448275862069
EMR,5243,320,4.871502600835028,0.8
ENPH,2163,100,-0.5185276521861564,0.75
EOG,5243,307,2.6222799095801466,0.7915309446254072
EPAM,2199,111,2.5104581653174196,0.8288288288288288
EQIX,5089,266,-0.6807528286008288,0.7631578947368421
EQR,5233,307,15.089182987751386,0.7719869706840391
ES,5243,312,3.4174612613781887,0.8108974358974359
ESS,5243,324,16.49568047229422,0.7962962962962963
ETN,5233,282,0.19666485078189125,0.8049645390070922
ETR,5243,302,1.9925243440731992,0.7847682119205298
ETSY,1399,75,1.25356311353761,0.8666666666666667
EVRG,5243,339,5.332757021067242,0.8407079646017699
EW,5185,295,27.351135511981177,0.8440677966101695
EXC,5243,338,2.1281941367019055,0.8165680473372781
EXPD,5243,350,51.10711510461628,0.84
EXPE,3849,237,3.865916813771576,0.8185654008438819
EXR,4084,237,4.31535463993862,0.7974683544303798
F,5243,311,-0.7972016981821545,0.7781350482315113
FANG,2027,123,0.44399758827378366,0.8211382113821138
FAST,5243,312,11.354733299817946,0.8012820512820513
FCX,5243,270,-0.7660641039632666,0.7814814814814814
FDS,5243,274,3.3630411904346396,0.781021897810219
FDX,5243,305,4.869844877245815,0.8131147540983606
FE,5243,289,0.916963682874969,0.7993079584775087
FFIV,5243,245,-0.794702714034623,0.7510204081632653
FIS,4874,297,3.246877468186359,0.8215488215488216
FITB,5243,304,0.38518722847049197,0.7763157894736842
FLT,2488,132,2.849445511417288,0.8106060606060606
FMC,5243,283,3.51172651761066,0.8374558303886925
FOX,416,27,-0.06184297648336494,0.7777777777777778
FOXA,417,28,0.010965884764929535,0.8214285714285714
FRT,5243,316,11.035206154956487,0.8037974683544303
FTNT,2758,137,2.0524003764955236,0.8102189781021898
FTV,1092,63,0.2697687307549738,0.873015873015873
GD,5243,322,3.184906550189641,0.8354037267080745
GE,5243,307,-0.7641311234155769,0.7752442996742671
GILD,5222,335,95.04696755619926,0.7940298507462686
GIS,5243,328,3.988808862556258,0.8109756097560976
GL,5243,340,9.920335651712753,0.861764705882353
GLW,5243,257,-0.8403669522979392,0.77431906614786
GM,2506,122,-0.5597996532278207,0.7049180327868853
GNRC,2701,139,4.0235889579809125,0.8201438848920863
GOOG,4081,191,0.5757851696037098,0.7643979057591623
GOOGL,4081,199,0.6692990846094079,0.7688442211055276
GPC,5243,340,4.767700528075949,0.8352941176470589
GPN,4982,258,6.470347013779994,0.7868217054263565
GRMN,5006,257,0.5360745590034414,0.7704280155642024
GS,5243,269,-0.590400705221493,0.7843866171003717
GWW,5243,316,3.181162500199397,0.8132911392405063
HAL,5243,256,-0.9460121342724124,0.75390625
HAS,5243,295,4.112145615028646,0.8033898305084746
HBAN,5243,339,6.092717983037367,0.8407079646017699
HCA,2430,127,1.221847312614209,0.8110236220472441
HD,5243,304,1.149622193320229,0.7861842105263158
HES,5243,321,0.7223551357737035,0.7881619937694704
HIG,5243,316,0.677100041245702,0.7974683544303798
HII,2422,110,-0.20103453085030581,0.7818181818181819
HLT,1735,93,0.22368045811480097,0.7849462365591398
HOLX,5243,281,7.954052161139881,0.7900355871886121
HON,5243,310,2.4116349477186705,0.8161290322580645
HPE,1270,80,1.0967174173444814,0.8375
HPQ,5243,291,0.7965928228014959,0.7800687285223368
HRL,5243,333,13.667762075051817,0.8528528528528528
HSIC,5243,330,13.885053778063515,0.8636363636363636
HST,5243,314,2.6522535107974003,0.802547770700637
HSY,5243,311,4.429351807393945,0.8231511254019293
HUM,5243,294,6.621344567788482,0.8129251700680272
HWM,1008,51,-0.29805735684212264,0.7843137254901961
IBM,5243,302,0.08846215917211142,0.7814569536423841
ICE,3766,239,6.698281717027244,0.8410041841004184
IDXX,5243,292,10.816370444521048,0.8082191780821918
IEX,5243,287,4.039237635948506,0.818815331010453
IFF,5243,305,2.769009652075691,0.8131147540983606
ILMN,5099,260,-0.07271004456052929,0.8076923076923077
INCY,5243,274,-0.5592041338812341,0.7591240875912408
INTC,5243,287,-0.024210164868837803,0.7630662020905923
INTU,5243,321,41.688939840838025,0.8130841121495327
IP,5243,301,0.5772967468007982,0.7508305647840532
IPG,5243,324,1.1583589183619771,0.8117283950617284
IPGP,3496,180,0.16755648859064792,0.7722222222222223
IQV,1886,117,1.1183808660730692,0.8205128205128205
IR,876,45,-0.0034792055386599387,0.8222222222222222
IRM,5243,284,4.178993557798034,0.7570422535211268
ISRG,5128,277,5.3985740973383205,0.7978339350180506
IT,5243,282,8.270324323883301,0.8014184397163121
ITW,5243,324,7.567654853401039,0.8055555555555556
IVZ,5243,282,-0.23195967351597221,0.7659574468085106
J,5243,286,3.3635886013269563,0.8041958041958042
JBHT,5243,311,8.573534746884029,0.7909967845659164
JCI,5243,315,0.2755599917512224,0.8253968253968254
JKHY,5243,317,18.36743852801961,0.8422712933753943
JNJ,5243,313,2.4387687162032012,0.7955271565495208
JNPR,5243,287,-0.6986646543692115,0.7560975609756098
JPM,5243,305,1.4768610484240665,0.7934426229508197
K,5243,346,10.851241564031804,0.8294797687861272
KEY,5243,356,29.27380979625567,0.8370786516853933
KEYS,1521,84,1.153152538673386,0.8214285714285714
KHC,1344,79,-0.13230973497571494,0.7848101265822784
KIM,5243,287,0.45334274164934596,0.7770034843205574
KLAC,5243,298,4.283232434555352,0.785234899328859
KMB,5243,331,5.054609884087245,0.8096676737160121
KMI,2448,144,-0.3714842186282795,0.7986111111111112
KMX,5243,256,2.696044872114312,0.8125
KO,5243,332,3.1260815665946495,0.822289156626506
KR,5243,318,8.292641504515109,0.8333333333333334
L,5233,311,2.3392274693072923,0.797427652733119
LDOS,3536,205,2.748274333250055,0.7804878048780488
LEN,5243,323,10.290331105164793,0.8173374613003096
LH,5233,312,7.436528319082664,0.8237179487179487
LHX,5243,302,5.194876103040233,0.8079470198675497
LIN,5243,335,16.16287981134973,0.8537313432835821
LKQ,4300,244,4.469889066254302,0.8278688524590164
LLY,5243,319,3.4785362077940265,0.7899686520376176
LMT,5243,322,7.988552681782678,0.8571428571428571
LNC,5243,323,6.085381623309803,0.804953560371517
LNT,5243,324,3.920483886907878,0.8333333333333334
LOW,5243,297,3.910403447043797,0.8047138047138047
LRCX,5243,301,5.815751489521642,0.8006644518272426
LUMN,5243,275,-0.32032547529085176,0.7345454545454545
LUV,5243,263,-0.05648216673574876,0.7490494296577946
LVS,3999,216,-0.7623151996460482,0.7962962962962963
LW,1001,43,0.19934557794635488,0.8604651162790697
LYB,2649,147,1.3243510560463247,0.8367346938775511
LYV,3742,210,-0.23355691073869495,0.8285714285714286
MA,3636,205,12.332513482571136,0.8682926829268293
MAA,5243,323,23.71328671030436,0.848297213622291
MAR,5243,287,2.5549122197238807,0.818815331010453
MAS,5233,316,2.2420451745010714,0.7848101265822784
MCD,5243,302,3.2240260603880584,0.8311258278145696
MCHP,5243,348,25.36532307190693,0.8247126436781609
MCK,5243,276,0.9503028304411466,0.782608695652174
MCO,5233,283,5.469224684734416,0.8586572438162544
MDLZ,4879,301,3.7043430191532103,0.8039867109634552
MDT,5243,320,3.224770266935816,0.828125
MET,5178,334,11.47893066788933,0.8173652694610778
MGM,5233,285,-0.19521497514427255,0.7824561403508772
MHK,5243,277,-0.12906419858230336,0.7942238267148014
MKC,5243,315,8.19619373350082,0.8539682539682539
MKTX,4026,223,21.661369515834735,0.8161434977578476
MLM,5243,314,5.415748661006544,0.7929936305732485
MMC,5243,313,3.6053316545316765,0.805111821086262
MMM,5243,296,2.2602573427896435,0.7871621621621622
MNST,4709,256,22.155487922435782,0.828125
MO,5243,274,0.687569304191427,0.7664233576642335
MOH,4366,239,8.30986049935871,0.803347280334728
MOS,5243,260,-0.739885145096543,0.7653846153846153
MPC,2356,125,-0.13807336399341422,0.752
MPWR,4016,215,6.959138658616546,0.813953488372093
MRK,5243,317,3.8307580528950718,0.7949526813880127
MRNA,480,24,0.8558620088562926,0.7916666666666666
MRO,5243,299,-0.35554021445225076,0.7926421404682275
MS,5243,280,-0.325893766977318,0.7821428571428571
MSCI,3264,180,5.338132251441268,0.8277777777777777
MSFT,5243,311,5.196797037264101,0.8231511254019293
MSI,5243,280,-0.36764461717947583,0.7642857142857142
MTB,5243,356,14.410236030593111,0.8286516853932584
MTCH,5243,271,1.7202135937175225,0.7933579335793358
MTD,5243,280,4.826103480917884,0.7928571428571428
MU,5243,294,0.0532962953409669,0.7891156462585034
NCLH,1962,105,-0.18564386290683318,0.7714285714285715
NDAQ,4195,239,11.36068330165506,0.8284518828451883
NDSN,5243,347,31.608153660561563,0.861671469740634
NEE,5243,319,10.920247243724768,0.8495297805642633
NEM,5243,322,4.667517964720159,0.7763975155279503
NFLX,4645,204,0.6074545625523599,0.803921568627451
NI,5243,306,1.994887499629153,0.7875816993464052
NKE,5243,298,17.65940455671183,0.8322147651006712
NOC,5243,314,2.8327826055977456,0.8312101910828026
NOW,2100,120,5.3609086199461755,0.875
NRG,4260,219,0.3307018670594038,0.7671232876712328
NSC,5243,305,7.501698226250162,0.7868852459016393
NTAP,5243,263,-0.6823860003573738,0.7680608365019012
NTRS,5243,333,9.036722545212688,0.8288288288288288
NUE,5243,309,3.960591746702484,0.7961165048543689
NVDA,5243,275,0.39521091572944356,0.8254545454545454
NVR,5243,325,16.056419110737238,0.8523076923076923
NWL,5243,312,1.3301393874639367,0.8141025641025641
NWS,1858,96,-0.15478965485939825,0.7291666666666666
NWSA,1858,99,0.048782385046568004,0.7373737373737373
NXPI,2579,133,1.933137149676043,0.8345864661654135
O,5243,300,7.900325395210967,0.8166666666666667
ODFL,4697,278,85.70248943538134,0.8381294964028777
OKE,5243,257,-0.15548910489516368,0.7704280155642024
OMC,5243,341,1.931070041725256,0.7888563049853372
ORCL,5243,334,9.199046385445575,0.8323353293413174
ORLY,5243,309,16.35394227818405,0.8220064724919094
OTIS,159,4,0.01477985664674209,0.75
OXY,5243,328,3.1165528177116277,0.801829268292683
PARA,3754,198,-0.7175856250680304,0.797979797979798
PAYC,1651,77,3.1187386563698025,0.8701298701298701
PAYX,5243,311,1.14138891876663,0.797427652733119
PCAR,5243,328,21.161156637594555,0.823170731707317
PEAK,5233,339,13.110565650229496,0.8259587020648967
PEG,5243,323,2.524039213700783,0.7894736842105263
PENN,5243,259,2.0913994739743322,0.7644787644787645
PEP,5243,321,2.957325841768365,0.8286604361370716
PFE,5243,303,2.1334526122798727,0.7392739273927392
PFG,4771,295,2.65444191561863,0.8271186440677966
PG,5243,329,3.6385339666365253,0.8206686930091185
PGR,5243,289,4.324621810976831,0.8166089965397924
PH,5243,297,1.6900517940719793,0.8080808080808081
PHM,5243,286,1.2849915516985349,0.7727272727272727
PKG,5225,338,16.63130902359085,0.834319526627219
PLD,5243,318,7.053788831590599,0.8144654088050315
PM,3182,188,0.38883285162790376,0.7872340425531915
PNC,5243,341,8.822955965435428,0.8064516129032258
